ID,Name,Generation,HP,Atk,Def,SpA,SpD,Spd,Total
1,Bulbasaur,I,45,49,49,65,65,46,318
2,Ivysaur,I,60,62,63,80,80,60,405
3,Venusaur,I,80,82,83,100,100,80,525
152,Chikorita,II,45,49,65,49,65,45,318
153,Bayleef,II,60,62,80,63,80,60,405
154,Meganium,II,80,82,100,83,100,80,525
252,Treecko,III,40,45,35,65,55,70,310
253,Grovyle,III,50,65,45,85,65,95,405
254,Sceptile,III,70,85,65,105,85,120,530
387,Turtwig,IV,55,68,64,45,55,31,318
388,Grotle,IV,75,89,85,55,65,36,405
389,Torterra,IV,95,109,105,75,85,56,525
495,Snivy,V,45,45,55,45,55,63,308
496,Servine,V,60,60,75,60,75,83,413
497,Serperior,V,75,75,95,75,95,113,528
