ID,Name,Generation,HP,Atk,Def,SpA,SpD,Spd,Total
7,Squirtle,I,44,48,65,50,64,43,314
8,Wartortle,I,59,63,80,65,80,58,405
9,Blastoise,I,79,83,100,85,105,78,530
158,Totodile,II,50,65,64,44,48,43,314
159,Croconaw,II,65,80,80,59,63,58,405
160,Feraligatr,II,85,105,100,79,83,78,530
258,Mudkip,III,50,70,50,50,50,40,310
259,Marshtomp,III,79,85,70,60,70,50,405
260,Swampert,III,100,110,90,85,90,60,535
393,Piplup,IV,53,51,53,61,56,40,314
394,Prinplup,IV,64,66,68,81,76,50,405
395,Empoleon,IV,84,86,88,111,101,60,530
501,Oshawott,V,55,55,45,63,45,45,308
502,Dewott,V,75,75,60,83,60,60,413
503,Samurott,V,95,100,85,108,70,70,528
