Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2004-05,19,NOH,NBA,SG,76,56,24.5,3.9,9.8,.394,1.1,3.7,.288,1.5,2.1,.689,0.5,1.5,2.0,1.9,0.7,0.1,1.4,1.8,10.3
2005-06,20,NOK,NBA,SG,55,25,18.0,2.6,6.7,.393,0.9,2.5,.371,1.5,1.8,.822,0.3,1.7,2.0,1.1,0.7,0.1,1.0,1.6,7.7
2006-07,21,DEN,NBA,SG,63,24,23.3,4.5,10.2,.441,2.4,6.1,.390,1.6,2.0,.810,0.5,1.8,2.3,1.4,0.8,0.1,1.3,2.3,13.0
2007-08,22,DEN,NBA,SG,74,0,19.2,4.2,9.1,.461,2.1,5.3,.403,1.7,2.4,.719,0.6,1.5,2.1,1.7,0.8,0.2,1.5,1.9,12.3
2008-09,23,DEN,NBA,SG,81,18,27.7,5.2,11.7,.446,2.2,5.6,.397,2.5,3.4,.754,0.5,3.1,3.7,2.8,1.0,0.2,1.9,2.3,15.2
2009-10,24,DEN,NBA,SG,75,0,27.8,5.7,13.8,.414,2.1,6.2,.338,1.9,2.7,.706,0.4,2.7,3.1,2.4,1.3,0.3,1.9,2.3,15.4
2010-11,25,DEN,NBA,SF,79,6,24.9,4.3,9.9,.435,1.6,4.0,.390,2.1,2.8,.738,0.6,3.5,4.1,2.2,1.2,0.2,1.3,2.2,12.3
2011-12,26,NYK,NBA,SG,35,1,27.6,4.7,11.6,.407,1.9,5.5,.347,1.1,1.6,.709,0.8,3.1,3.9,2.4,1.5,0.2,1.3,2.5,12.5
2012-13,27,NYK,NBA,SG,80,0,33.5,6.6,15.6,.422,1.9,5.5,.356,3.0,3.9,.762,0.8,4.5,5.3,2.7,1.3,0.3,1.7,2.8,18.1
Career,,,NBA,,618,130,25.4,4.7,11.1,.426,1.8,5.0,.367,2.0,2.6,.744,0.6,2.6,3.2,2.1,1.0,0.2,1.5,2.2,13.2
