#,Pokemon,HP,Attack,Defense,Sp.Atk,Sp.Def,Speed,Total
001,Bulbasaur,45,49,49,65,65,45,318
002,Ivysaur,60,62,63,80,80,60,405
003,Venusaur,80,82,83,100,100,80,525
004,Charmander,39,52,43,60,50,65,309
005,Charmeleon,58,64,58,80,65,80,405
006,Charizard,78,84,78,109,85,100,534
007,Squirtle,44,48,65,50,64,43,314
008,Wartortle,59,63,80,65,80,58,405
009,Blastoise,79,83,100,85,105,78,530
010,Caterpie,45,30,35,20,20,45,195
011,Metapod,50,20,55,25,25,30,205
012,Butterfree,60,45,50,80,80,70,385
013,Weedle,40,35,30,20,20,50,195
014,Kakuna,45,25,50,25,25,35,205
015,Beedrill,65,80,40,45,80,75,385
016,Pidgey,40,45,40,35,35,56,251
017,Pidgeotto,63,60,55,50,50,71,349
018,Pidgeot,83,80,75,70,70,91,469
019,Rattata,30,56,35,25,35,72,253
020,Raticate,55,81,60,50,70,97,413
021,Spearow,40,60,30,31,31,70,262
022,Fearow,65,90,65,61,61,100,442
023,Ekans,35,60,44,40,54,55,288
024,Arbok,60,85,69,65,79,80,438
025,Pikachu,35,55,30,50,40,90,300
026,Raichu,60,90,55,90,80,100,475
027,Sandshrew,50,75,85,20,30,40,300
028,Sandslash,75,100,110,45,55,65,450
029,Nidoran♀,55,47,52,40,40,41,275
030,Nidorina,70,62,67,55,55,56,365
031,Nidoqueen,90,82,87,75,85,76,495
032,Nidoran♂,46,57,40,40,40,50,273
033,Nidorino,61,72,57,55,55,65,365
034,Nidoking,81,92,77,85,75,85,495
035,Clefairy,70,45,48,60,65,35,323
036,Clefable,95,70,73,85,90,60,473
037,Vulpix,38,41,40,50,65,65,299
038,Ninetales,73,76,75,81,100,100,505
039,Jigglypuff,115,45,20,45,25,20,270
040,Wigglytuff,140,70,45,75,50,45,425
041,Zubat,40,45,35,30,40,55,245
042,Golbat,75,80,70,65,75,90,455
043,Oddish,45,50,55,75,65,30,320
044,Gloom,60,65,70,85,75,40,395
045,Vileplume,75,80,85,100,90,50,480
046,Paras,35,70,55,45,55,25,285
047,Parasect,60,95,80,60,80,30,405
048,Venonat,60,55,50,40,55,45,305
049,Venomoth,70,65,60,90,75,90,450
050,Diglett,10,55,25,35,45,95,265
051,Dugtrio,35,80,50,50,70,120,405
052,Meowth,40,45,35,40,40,90,290
053,Persian,65,70,60,65,65,115,440
054,Psyduck,50,52,48,65,50,55,320
055,Golduck,80,82,78,95,80,85,500
056,Mankey,40,80,35,35,45,70,305
057,Primeape,65,105,60,60,70,95,455
058,Growlithe,55,70,45,70,50,60,350
059,Arcanine,90,110,80,100,80,95,555
060,Poliwag,40,50,40,40,40,90,300
061,Poliwhirl,65,65,65,50,50,90,385
062,Poliwrath,90,85,95,70,90,70,500
063,Abra,25,20,15,105,55,90,310
064,Kadabra,40,35,30,120,70,105,400
065,Alakazam,55,50,45,135,85,120,490
066,Machop,70,80,50,35,35,35,305
067,Machoke,80,100,70,50,60,45,405
068,Machamp,90,130,80,65,85,55,505
069,Bellsprout,50,75,35,70,30,40,300
070,Weepinbell,65,90,50,85,45,55,390
071,Victreebel,80,105,65,100,60,70,480
072,Tentacool,40,40,35,50,100,70,335
073,Tentacruel,80,70,65,80,120,100,515
074,Geodude,40,80,100,30,30,20,300
075,Graveler,55,95,115,45,45,35,390
076,Golem,80,110,130,55,65,45,485
077,Ponyta,50,85,55,65,65,90,410
078,Rapidash,65,100,70,80,80,105,500
079,Slowpoke,90,65,65,40,40,15,315
080,Slowbro,95,75,110,100,80,30,490
081,Magnemite,25,35,70,95,55,45,325
082,Magneton,50,60,95,120,70,70,465
083,Farfetch'd,52,65,55,58,62,60,352
084,Doduo,35,85,45,35,35,75,310
085,Dodrio,60,110,70,60,60,100,460
086,Seel,65,45,55,45,70,45,325
087,Dewgong,90,70,80,70,95,70,475
088,Grimer,80,80,50,40,50,25,325
089,Muk,105,105,75,65,100,50,500
090,Shellder,30,65,100,45,25,40,305
091,Cloyster,50,95,180,85,45,70,525
092,Gastly,30,35,30,100,35,80,310
093,Haunter,45,50,45,115,55,95,405
094,Gengar,60,65,60,130,75,110,500
095,Onix,35,45,160,30,45,70,385
096,Drowzee,60,48,45,43,90,42,328
097,Hypno,85,73,70,73,115,67,483
098,Krabby,30,105,90,25,25,50,325
099,Kingler,55,130,115,50,50,75,475
100,Voltorb,40,30,50,55,55,100,330
101,Electrode,60,50,70,80,80,140,480
102,Exeggcute,60,40,80,60,45,40,325
103,Exeggutor,95,95,85,125,65,55,520
104,Cubone,50,50,95,40,50,35,320
105,Marowak,60,80,110,50,80,45,425
106,Hitmonlee,50,120,53,35,110,87,455
