Pk,Tm,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48
1,CLE,Kyrie Irving,Duke University,110,3606,2269,407,625,0.459,0.394,0.862,32.8,20.6,3.7,5.7,9.4,0.125
2,MIN,Derrick Williams,University of Arizona,144,3334,1516,741,84,0.423,0.305,0.702,23.2,10.5,5.1,0.6,4.8,0.069
3,UTA,Enes Kanter,,136,1952,810,582,39,0.525,0.5,0.734,14.4,6,4.3,0.3,4,0.098
4,CLE,Tristan Thompson,University of Texas at Austin,142,3988,1451,1162,135,0.471,0,0.586,28.1,10.2,8.2,1,6.4,0.077
5,TOR,Jonas Valanciunas,,62,1482,554,372,45,0.557,0,0.789,23.9,8.9,6,0.7,3.9,0.127
6,WAS,Jan Vesely,,108,1679,393,371,75,0.524,0,0.446,15.5,3.6,3.4,0.7,2.4,0.07
7,SAC,Bismack Biyombo,,143,3641,713,950,62,0.457,0,0.502,25.5,5,6.6,0.4,2,0.026
8,DET,Brandon Knight,University of Kentucky,141,4494,1846,458,554,0.41,0.373,0.743,31.9,13.1,3.2,3.9,2.4,0.025
9,CHA,Kemba Walker,University of Connecticut,148,4651,2254,517,760,0.401,0.315,0.795,31.4,15.2,3.5,5.1,5.1,0.053
10,MIL,Jimmer Fredette,Brigham Young University,130,2102,956,144,200,0.402,0.384,0.85,16.2,7.4,1.1,1.5,1.3,0.031
11,GSW,Klay Thompson,Washington State University,148,4544,2185,467,316,0.43,0.406,0.851,30.7,14.8,3.2,2.1,6,0.063
12,UTA,Alec Burks,University of Colorado,123,2076,876,277,147,0.424,0.35,0.721,16.9,7.1,2.3,1.2,2.5,0.058
13,PHO,Markieff Morris,University of Kansas,145,3064,1137,675,173,0.404,0.341,0.725,21.1,7.8,4.7,1.2,3.2,0.05
14,HOU,Marcus Morris,University of Kansas,94,1650,636,293,65,0.41,0.352,0.576,17.6,6.8,3.1,0.7,1.6,0.047
15,IND,Kawhi Leonard,San Diego State University,122,3344,1196,673,163,0.494,0.375,0.804,27.4,9.8,5.5,1.3,11.7,0.168
16,PHI,Nikola Vucevic,University of Southern California,128,3371,1291,1163,174,0.502,0.273,0.65,26.3,10.1,9.1,1.4,7.5,0.107
17,NYK,Iman Shumpert,Georgia Institute of Technology,104,2701,868,322,239,0.399,0.349,0.788,26,8.3,3.1,2.3,4.4,0.078
18,WAS,Chris Singleton,Florida State University,123,2355,537,417,86,0.376,0.313,0.614,19.1,4.4,3.4,0.7,2.1,0.043
19,CHA,Tobias Harris,University of Tennessee,97,1778,811,388,91,0.458,0.305,0.77,18.3,8.4,4,0.9,3.3,0.089
20,MIN,Donatas Motiejunas,,44,538,250,93,31,0.455,0.289,0.627,12.2,5.7,2.1,0.7,0.7,0.061
21,POR,Nolan Smith,Duke University,84,829,277,83,97,0.371,0.26,0.714,9.9,3.3,1,1.2,-0.8,-0.047
22,DEN,Kenneth Faried,Morehead State University,126,3285,1394,1086,113,0.562,0,0.633,26.1,11.1,8.6,0.9,12.4,0.181
23,HOU,Nikola Mirotic,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,OKC,Reggie Jackson,Boston College,115,1494,514,219,193,0.413,0.223,0.846,13,4.5,1.9,1.7,2.6,0.084
25,BOS,MarShon Brooks,Providence College,129,2560,1102,304,207,0.44,0.302,0.752,19.8,8.5,2.4,1.6,2.1,0.039
26,DAL,Jordan Hamilton,University of Texas at Austin,66,655,323,157,43,0.423,0.367,0.484,9.9,4.9,2.4,0.7,1.1,0.083
27,NJN,JaJuan Johnson,Purdue University,36,298,114,58,6,0.446,0,0.667,8.3,3.2,1.6,0.2,0.2,0.032
28,CHI,Norris Cole,Cleveland State University,145,2850,886,221,297,0.407,0.322,0.715,19.7,6.1,1.5,2,0.6,0.011
29,SAS,Cory Joseph,University of Texas at Austin,57,654,184,77,87,0.406,0.25,0.763,11.5,3.2,1.4,1.5,0.9,0.068
30,CHI,Jimmy Butler,Marquette University,124,2493,814,384,129,0.459,0.362,0.796,20.1,6.6,3.1,1,8.1,0.156
