#,Team,Player,H,W,P,School,C
1,Cleveland ,Kyrie Irving,"6'3""",191,PG,Duke,Fr.
2,Minnesota,Derrick Williams,"6'8""",248,SF/PF,Arizona,So.
3,Utah,Enes Kanter,"6'11""",259,PF/C,Kentucky,Fr.
4,Cleveland ,Jonas Valanciunas,"6'11""",240,C,Lithuania,Intl.
5,Toronto,Bismack Biyombo,"6'9""",243,C,Congo,Intl.
6,Washington,Jan Vesely,"6'11""",230,SF/PF,Czech Republic,Intl.
7,Sacramento,Brandon Knight,"6'4""",177,PG/SG,Kentucky,Fr.
8,Detroit,Tristan Thompson,"6'9""",227,PF,Texas,Fr.
9,Charlotte,Kemba Walker,"6'1""",184,PG,UConn,Jr.
10,Milwaukee,Jimmer Fredette,"6'2""",196,PG,BYU,Sr.
11,Golden St.,Klay Thompson,"6'7""",206,SG/SF,Washington St...,Jr.
12,Utah,Chris Singleton,"6'9""",230,SF/PF,Florida St.,Jr.
13,Phoenix,Markieff Morris,"6'9""",241,PF,Kansas,Jr.
14,Houston,Kawhi Leonard,"6'7""",227,SF,San Diego St.,So.
15,Indiana,Marcus Morris,"6'8""",230,SF/PF,Kansas,Jr.
16,Philadelphia,Nikola Vucevic,"6'11""",260,C,USC,Jr.
17,New York,Iman Shumpert,"6'5""",222,PG/SG,Georgia Tech,Jr.
18,Washington,Donatas Motiejunas,"7'0""",224,PF,Lithuania,Intl.
19,Charlotte,Alec Burks,"6'6""",193,PG/SG,Colorado,So.
20,Minnesota,Marshon Brooks,"6'5""",195,SG,Providence,Sr.
21,Portland,Kenneth Faried,"6'7""",225,PF,Morehead St.,Sr.
22,Denver,Tobias Harris,"6'8""",223,SF/PF,Tennessee,Fr.
23,Houston,Jordan Hamilton,"6'8""",228,SG/SF,Texas,So.
24,Oklahoma City,Kyle Singler,"6'9""",228,SF,Duke,Sr.
25,Boston,Tyler Honeycutt,"6'8""",187,SG/SF,UCLA,So.
26,Dallas,Davis Bertans,"6'10""",211,SF,Latvia,Intl.
27,New Jersey,Chandler Parsons,"6'9""",227,SF,Florida St.,Fr.
28,Chicago,Justin Harper,"6'10""",228,SF/PF,Richmond,Sr.
29,San Antonio,Nikola Mirotic,"6'10""",225,SF/PF,Montenegro,Intl.
30,Chicago,Travis Leslie,"6'4""",205,SF,Georgia Tech,Jr.
