#,Team,Player,H,W,P,School,C
1,New Orleans,Anthony Davis,"6'10""",222,PF,Kentucky,Fr.
2,Charlotte,Thomas Robinson,"6'9""",244,PF,Kansas,Jr.
3,Washington,Bradley Beal,"6'4""",202,SG,Florida,Fr.
4,Cleveland ,Michael Kidd-Gilchrist,"6'7""",233,SF,Kentucky,Fr.
5,Sacramento,Harrison Barnes,"6'8""",228,SF,North Carolina,So.
6,Portland,Damian Lillard,"6'3""",189,PG,Weber St.,Jr.
7,Golden St.,Dion Waiters,"6'4""",215,SG,Syracuse,So.
8,Toronto,Austin Rivers,"6'5""",203,SG,Duke,Fr.
9,Detroit,Andre Drummond,"6'11""",279,PF/C,UConn,Fr.
10,New Orleans,Tyler Zeller,"7'0""",247,PF/C,North Carolina,Sr.
11,Portland,John Henson,"6'10""",216,PF,North Carolina,Jr.
12,Houston,Meyers Leonard,"7'1""",250,C,Illinois,So.
13,Phoenix,Jeremy Lamb,"6'5""",179,SG,UConn,So.
14,Milwaukee,Terrence Ross,"6'7""",197,SG/SF,Washington,So.
15,Philadelphia,Arnett Moultrie,"6'11""",233,PF,Mississippi St.,Jr.
16,Houston,Kendall Marshall,"6'4""",197,PG,North Carolina,So.
17,Dallas,Terrence Jones,"6'9""",252,SF/PF,Kentucky,So.
18,Houston,Perry Jones,"6'11""",234,SF/PF,Baylor,So.
19,Orlando,Moe Harkless,"6'8""",207,SF,St. Johns,Fr.
20,Denver,Jared Sullinger,"6'9""",268,PF,Ohio State,So.
21,Boston,Royce White,"6'8""",261,SF,Iowa St.,So.
22,Boston,Andrew Nicholson,"6'10""",234,PF,St. Bonaventure,Sr.
23,Atlanta,Evan Fournier,"6'7""",204,SG,France,Intl.
24,Cleveland ,Fab Melo,"7'1""",255,C,Syracuse,So.
25,Memphis,Marquis Teague,"6'2""",189,PG,Kentucky,Fr.
26,Indiana,Draymond Green,"6'7""",236,SF/PF,Michigan St.,Sr.
27,Miami,Festus Ezeli,"6'11""",264,C,Vanderbilt,Sr.
28,Oklahoma Cty,Jeff Taylor,"6'7""",213,SF,Vanderbilt,Sr.
29,Chicago,Will Barton,"6'6""",174,SG/SF,Memphis,So.
30,Golden St.,Tony Wroten,"6'6""",203,PG/SG,Washington,Fr.
