Alabama, , , , , , , , , , , ,
Alaska, , , , , , , , , , , , 
Arizona, ,760,248, , ,1008, , , , , , 
Arkansas,23,747,273, , ,1043,908,32400, , ,33308,
California,13177,55224,8265,1803,302,78771,1075807,848238,160875,128509,2213429,127
Colorado,781,5370,331, ,2229,8711, , , , , , 
Connecticut, , , , , , ,141,250,65, ,456,
Delaware,19, ,28, , ,47, , , , , , 
Florida, , , , , , ,98000, , , ,98000,
Georgia, , , , , , , , , , , ,
Hawaii,205, , , , ,205, , , , , ,2485
Idaho,2751,5280,6425,11, ,14467, , , , , ,9
Illinois,425,944,1047,91,30,2537,92645,83648,155,86,176534,
Indiana,246,4703,2894,196,85,8124,491, , ,80820,81311,25
Iowa,3602,4702,3663,3961,1491,17419,425529,13985,69769, ,509283,480
Kansas,994, ,151,576, ,1721,30, , , ,30,25
Kentucky,150,1600, , , ,1750,800,56000,600, ,57400,
Louisiana, ,540,387, ,24,951,34, , , ,34,
Maine,2192,4047,4454,232,251,11176,3195,9010,710,4,12919,83
Maryland,79,1153,707, ,127,2066,1408,461,487,15,2371,27
Massachusetts,45,354,375, ,2,776,641,460,100,38,1239,4
Michigan,722,2306,2565,23,268,5884,208823,3758,69350,55,281986,7
Minnesota,1759,8142,6350,140,139,16530,41317,106075,8491, ,155883,1118
Mississippi,191,241, , , ,432, , , , , , 
Missouri,1128,1106,507,178,111,3030,179305, , , ,179305,
Montana,1446, ,430,682,686,3244,51845,4500,100,4000,60445,
Nebraska,6213,903,4868,13,80,12077,365,6501070,30,480,6501945,676
Nevada, , , , , , , , , , , ,
New Hampshire,51,502,349, , ,902,1712127,100,25, ,171342,
New Jersey,73,43,33,46, ,195,203, , , ,203,
New Mexico,550,5350,8103, ,300,14303, , ,1000, ,1000,100
New York,2267,34443,6299,206,72,43287,269,45,65,4663,5042,247
North Carolina,10,145,117,16,30,318,258169,552390, ,278330,1088889,
North Dakota,1700,33,1908,22, ,3663, ,100, , ,100,
Ohio,533,7853,4999,205,122,13712,423043,17403,819,34,441300,91
Oklahoma,572, ,1098, , ,1670,28400,850, ,29250,
Oregon,1170,16728,17384,20,508,35810,680,50,190,127,1047,306
Pennsylvania,605,11614,7857,72,60,20208,1077870,639430,79250,57200,1853750,84
Rhode Island,14,16,25,11, ,66,400, , , ,400,29
South Carolina, , , , , , , , , , , , 
South Dakota,3963,199,1398,46,146,5753,252,839, ,115, 1206,710
Tennessee, , ,25, ,25, , , ,100,100,
Texas,5267,26727,7541, ,39535,249378,80000, , ,329378,
Utah,269,80, , , ,349, , , , , 
Vermont,1131,12260,9527,43,89,23050,2382,4400,386, ,7168,227
Virginia,165,865,812,19, ,1861,96735,5950, ,10835,113520,
Washington,2000,9022,7022,360, ,18404,216000,1420,282,12,217,714,
West Virginia, , , , ,185,185, , , , , , 
Wisconsin,3195,25764,21311,1139,118,51527,831729,53152,5782,125,890788,
Wyoming,3996, ,5041, , ,9037, , , , , , 
