Alabama,678949,17,12962,43,48.1,6,12.95,14,691911,25,13.2
Alaska,6468,46,577,50,4.7,49,0.01,50,7045,49,0.01
Arizona,197060,36,183744,13,4.83,48,1.73,40,380804,36,3.34
Arkansas,947765,10,16718,40,43.72,8,17.82,9,964483,15,18.14
California,662423,18,1840730,1,16.71,26,4.05,34,2503153,2,15.29
Colorado,735014,14,126944,16,14.88,30,7.06,24,861958,17,8.28
Connecticut,5982,47,20685,37,9.44,40,1.08,44,26667,44,4.81
Delaware,3668,49,6526,47,4.6,50,1.47,41,10194,48,4.1
Florida,942419,11,119856,17,65.34,2,14.33,12,1062275,13,16.15
Georgia,554099,20,77193,26,34.94,12,9.32,18,631292,26,10.62
Hawaii,86000,40,2296,48,49.08,5,7.87,20,88296,42,8.08
Idaho,476292,24,536463,5,26.51,17,5.7,29,1012755,14,12.12
Illinois,429111,25,99677,21,10.26,37,7.41,22,528788,30,9.13
Indiana,235299,33,166149,14,10.19,38,6.46,27,401448,35,11.02
Iowa,904100,13,215391,12,18.82,24,16.07,11,1119491,12,19.89
Kansas,1516374,7,115634,19,20.94,23,18.43,8,1632008,7,19.83
Kentucky,1166385,9,90462,23,53.35,4,28.86,3,1256847,10,31.1
Louisiana,510837,23,28338,33,40.31,9,9.85,17,539175,29,10.4
Maine,12114,42,32527,32,5.75,46,0.34,49,44641,43,1.26
Maryland,44015,41,57172,29,13.73,31,3.55,36,101187,41,8.16
Massachusetts,8646,45,15050,41,10.68,36,0.82,47,23696,45,2.25
Michigan,109500,38,344233,8,6.99,44,1.13,43,453733,32,4.69
Minnesota,399768,26,459752,6,9.5,39,4.6,30,859520,18,9.89
Mississippi,521517,22,22560,36,29.13,14,10.77,15,544077,28,11.23
Missouri,2089181,2,110358,20,46.06,7,29.97,1,2199539,3,31.55
Montana,1522187,6,17458,39,15.87,27,10.35,16,1539645,8,10.47
Nebraska,1889842,4,54410,30,26.59,16,24.43,5,1944252,5,25.13
Nevada,238662,32,27660,34,26.04,18,2.16,38,266322,37,2.41
New Hampshire,4981,48,14611,42,6.76,45,0.53,48,19592,46,2.1
New Jersey,9298,44,9790,45,8.11,42,1.07,45,19088,47,2.19
New Mexico,530173,21,326400,9,7.85,43,4.36,31,856573,19,7.04
New York,103620,39,626455,3,9.24,41,1.9,39,730075,22,13.4
North Carolina,373024,27,47589,31,28.17,15,6.93,25,420613,34,7.82
North Dakota,930023,12,26479,35,15,29,13.15,13,956502,16,13.53
Ohio,293757,29,271938,10,13.47,32,6.55,26,565695,27,12.62
Oklahoma,2063613,3,66023,27,37.64,10,29.52,2,2129636,4,30.47
Oregon,604069,19,116788,18,23.57,21,6.14,28,720857,23,7.33
Pennsylvania,158430,37,553321,4,12.98,33,3.44,37,711751,24,15.45
Rhode Island,1800,50,1325,49,16.99,25,1.17,42,3125,50,2.02
South Carolina,230419,34,17830,38,30.16,13,7.2,23,248249,38,7.76
South Dakota,1649492,5,86243,24,24.18,20,21.39,6,1735735,6,22.51
Tennessee,1179102,8,61131,28,68.79,1,27.98,4,1240233,11,29.43
Texas,5259843,1,404399,7,25.82,19,19.58,7,5664242,1,21.09
Utah,364744,28,85262,25,21.04,22,4.3,32,450006,33,5.3
Vermont,10002,43,139719,15,5.19,47,1.04,46,149721,40,15.57
Virginia,695061,16,98917,22,54.89,3,16.25,10,793978,20,18.56
Washington,274001,30,243132,11,11.71,34,3.84,35,517133,31,7.25
West Virginia,203711,35,11744,44,35.26,11,8.41,19,215455,39,8.89
Wisconsin,269820,31,1249309,2,11.37,35,4.12,33,1519129,9,23.19
Wyoming,732141,15,6644,46,15.53,28,7.48,21,738785,,
