 Cersei Lannister (36 episodes, 2011-2014)
 Tyrion Lannister (36 episodes, 2011-2014)
 Arya Stark (34 episodes, 2011-2015)
 Daenerys Targaryen (33 episodes, 2011-2014)
 Jon Snow (32 episodes, 2011-2014)
 Jorah Mormont (31 episodes, 2011-2014)
 Sansa Stark (31 episodes, 2011-2014)
 Jaime Lannister (28 episodes, 2011-2014)
 Sandor 'The Hound' Clegane (27 episodes, 2011-2014)
 Tywin Lannister (27 episodes, 2011-2015)
 Theon Greyjoy (26 episodes, 2011-2014)
 Joffrey Baratheon (26 episodes, 2011-2014)
 Samwell Tarly (26 episodes, 2011-2014)
 Catelyn Stark (25 episodes, 2011-2013)
 Bran Stark (25 episodes, 2011-2014)
 Petyr 'Littlefinger' Baelish (24 episodes, 2011-2014)
 Lord Varys (24 episodes, 2011-2014)
 Bronn (22 episodes, 2011-2014)
 Grand Maester Pycelle (22 episodes, 2011-2014)
 Grenn (22 episodes, 2011-2014)
 Robb Stark (21 episodes, 2011-2013)
 Brienne of Tarth (21 episodes, 2012-2014)
 Barristan Selmy (21 episodes, 2011-2014)
 Hodor (21 episodes, 2011-2014)
 Shae (20 episodes, 2011-2014)
 Ygritte (17 episodes, 2012-2014)
 Gendry (17 episodes, 2011-2013)
 Podrick Payne (17 episodes, 2012-2015)
 Margaery Tyrell (16 episodes, 2012-2014)
 Stannis Baratheon (16 episodes, 2012-2014)
 Eddison Tollett (16 episodes, 2012-2014)
 Loras Tyrell (16 episodes, 2011-2015)
 Missandei (15 episodes, 2013-2014)
 Davos Seaworth (14 episodes, 2012-2014)
 Maester Luwin (14 episodes, 2011-2012)
 Osha (14 episodes, 2011-2013)
 Ros (14 episodes, 2011-2013)
 Melisandre (13 episodes, 2012-2014)
 Rodrik Cassel (13 episodes, 2011-2012)
 Roose Bolton (13 episodes, 2012-2014)
 Pypar (13 episodes, 2011-2014)
 Irri (13 episodes, 2011-2012)
 Jeor Mormont (12 episodes, 2011-2013)
 Tormund Giantsbane (12 episodes, 2013-2014)
 Gilly (12 episodes, 2012-2014)
 Grey Worm (12 episodes, 2013-2014)
 Rast (12 episodes, 2011-2014)
 Rickon Stark (12 episodes, 2011-2013)
 Meryn Trant (12 episodes, 2011-2015)
 Eddard 'Ned' Stark (11 episodes, 2011-2013)
 Talisa Maegyr (11 episodes, 2012-2013)
 Janos Slynt (11 episodes, 2011-2014)
 Doreah (11 episodes, 2011-2012)
 Hot Pie (11 episodes, 2011-2014)
 Jojen Reed (10 episodes, 2013-2014)
 Ramsay Snow / ... (10 episodes, 2013-2015)
 Khal Drogo (10 episodes, 2011-2012)
 Alliser Thorne (9 episodes, 2011-2014)
 Olenna Tyrell (9 episodes, 2013-2014)
 Meera Reed (9 episodes, 2013-2014)
 Maester Aemon (8 episodes, 2011-2014)
 Renly Baratheon (8 episodes, 2011-2012)
 Locke (8 episodes, 2013-2014)
 Kovarro (8 episodes, 2012)
 Giant / ... (8 episodes, 2011-2014)
 Tommen Baratheon (8 episodes, 2011-2012)
 Lancel Lannister (8 episodes, 2011-2012)
 Myrcella Baratheon (8 episodes, 2011-2012)
 Robert Baratheon (7 episodes, 2011)
 Oberyn Martell (7 episodes, 2014)
 Yoren (7 episodes, 2011-2012)
 Jaqen H'ghar (7 episodes, 2012-2015)
 Tommen Baratheon / ... (7 episodes, 2013-2014)
 Rakharo (7 episodes, 2011-2012)
 Qyburn (7 episodes, 2013-2015)
 Orell (6 episodes, 2013)
 Viserys Targaryen (6 episodes, 2011)
 Thoros of Myr (6 episodes, 2013)
 Septa Mordane (6 episodes, 2011)
 Yara Greyjoy (6 episodes, 2012-2014)
 Qotho (6 episodes, 2011)
 Dontos Hollard (6 episodes, 2012-2014)
 Robin Arryn (6 episodes, 2011-2014)
 Anguy (6 episodes, 2013)
 Olly (6 episodes, 2014-2015)
 Shireen Baratheon (6 episodes, 2013-2015)
 Bowen Marsh / ... (6 episodes, 2011-2015)
 Othell Yarwyck (6 episodes, 2011-2013)
 Daario Naharis (5 episodes, 2014)
 Jory Cassel (5 episodes, 2011)
 Lysa Arryn (5 episodes, 2011-2014)
 Craster (5 episodes, 2012-2013)
 Xaro Xhoan Daxos (5 episodes, 2012)
 Brynden 'Blackfish' Tully (5 episodes, 2013)
 Edmure Tully (5 episodes, 2013)
 Rickard Karstark (5 episodes, 2012-2013)
 Dagmer Cleftjaw (5 episodes, 2012)
 Mace Tyrell (5 episodes, 2014-2015)
 Marei (5 episodes, 2012-2014)
 Steelshanks Walton (5 episodes, 2013)
 Mance Rayder (4 episodes, 2013-2014)
 Ellaria Sand (4 episodes, 2014)
 Pyat Pree (4 episodes, 2012)
 Styr (4 episodes, 2014)
 Beric Dondarrion (4 episodes, 2013)
 Karl Tanner (4 episodes, 2013-2014)
 Ilyn Payne (4 episodes, 2011-2012)
 Marillion (4 episodes, 2011)
 Selyse Baratheon (4 episodes, 2013-2014)
 Qhorin Halfhand (4 episodes, 2012)
 Rorge (4 episodes, 2012-2014)
 Lommy Greenhands (4 episodes, 2011-2012)
 Matthos Seaworth (4 episodes, 2012)
 Armeca (4 episodes, 2011-2012)
 King's Landing Page (4 episodes, 2011)
 Lorren (4 episodes, 2012)
 Amory Lorch (4 episodes, 2012)
 Biter (4 episodes, 2012-2014)
 Kevan Lannister (4 episodes, 2011-2012)
 High Septon (4 episodes, 2013-2014)
 Myranda (4 episodes, 2013-2015)
 Timett (4 episodes, 2011-2012)
 Spice King (3 episodes, 2012)
 Walder Frey (3 episodes, 2011-2013)
 Balon Greyjoy (3 episodes, 2012-2013)
 Benjen Stark (3 episodes, 2011)
 Syrio Forel (3 episodes, 2011)
 Salladhor Saan (3 episodes, 2012-2014)
 Daario Naharis (3 episodes, 2013)
 Greatjon Umber (3 episodes, 2011)
 Thenn Warg (3 episodes, 2014)
 Mirri Maz Duur (3 episodes, 2011)
 Gregor Clegane (3 episodes, 2014)
 Polliver (3 episodes, 2012-2014)
 Alton Lannister (3 episodes, 2012)
 Olyvar (3 episodes, 2013-2014)
 Kraznys mo Nakloz (3 episodes, 2013)
 Handmaid (3 episodes, 2012-2014)
 White Walker (3 episodes, 2012-2014)
 Rattleshirt (3 episodes, 2012-2013)
 Daisy (3 episodes, 2012)
 Silk King (3 episodes, 2012)
 Three-Eyed Raven (3 episodes, 2014-2015)
 Hallyne (2 episodes, 2012)
 Illyrio Mopatis (2 episodes, 2011)
 Mord (2 episodes, 2011)
 Old Nan (2 episodes, 2011)
 Gregor Clegane (2 episodes, 2011)
 Lothar Frey (2 episodes, 2013)
