Country,Earnings,Players
South Korea,18014237.74,840
United States,		12150519.37,1756
Sweden, 6479188.06,470 
China,  5984062.15,396  
Germany,			2613952.24,	425  			
Ukraine,			2365502.63,	136  
Russia,	1882035.21,	365  
France,			1771740.48,	360  
Canada,			1746121.14,	274  
Taiwan,			1666671.12,	114  
United Kingdom,		1429262.37,	206  
Denmark	,		1389069.55,	219  
Poland,			1342791.66,	133  
Netherlands,		971677.60,	87  
Malaysia,		734130.49,		72  
Finland		,		631384.48	,	199  
Norway		,		549043.29	,	95  
Estonia		,		526242.84	,	11  
Spain		,		519089.97	,	115  
Brazil		,		505521.81	,	141  
Singapore	,		473732.40	,	96  
Hong Kong	,		461322.63	,	48  
Italy		,		351875.28	,	22  
Australia	,		252205.64	,	104  
Japan		,		226475.51	,	59  
Belgium		,		181662.97	,	35  
Austria		,		175072.32	,	33  
Belarus		,		164500.47	,	38  
Turkey		,		160978.38	,	46  
Philippines	,		158226.84	,	71  
Vietnam		,		147882.75	,	64  
Mexico		,	114325.30	,	44  
Bulgaria	,		101081.66	,	25  
Lithuania	,		92574.06	,	24  
Romania		,		92426.46	,	30  
Kazakhstan	,		86360.54	,	23  
Armenia		,		78834.22	,	1  
Macao		,		72686.47	,	2  
Portugal	,		67373.32	,	21  
Thailand	,		59069.50	,	40  
Ireland		,		46111.87	,	8  
Israel		,		45587.83	,	4  
Czech Republic	,		40300.16	,	34  
Croatia		,		38811.49	,	4  
Chile		,		38301.25	,	20  
Peru		,		34532.01	,	13  
Bosnia and Herzegovina,		27018.28	,	3  
Argentina	,		25386.31	,	35  
Slovakia	,		25300.85	,	16  
Switzerland	,		24222.64	,	14  
Venezuela	,		19970.10	,	5  
Serbia		,		19084.62	,	20  
5Hungary	,		16022.05	,	8  
New Zealand	,		15245.58	,	13  
Iran		,		10000.00	,	1  
Greece		,		6969.58	,	9  
Indonesia	,		5320.00	,	6  
Slovenia	,		5235.88	,	2  
Puerto Rico	,		5098.49	,	3  
Saudi Arabia	,		2912.00	 , 	1  
Uruguay		,		2652.03	,	3  
South Africa	,		2220.71	,	7  
Mongolia	,		2000.00	,	5  
Uzbekistan	,		2000.00	,	5  
Iceland		,		1713.82	,	7  
Colombia	,		1200.00	,	2  
Latvia		,		1119.90	,	5  
Malta		,		800.00		,	1  
Lebanon		,		666.67		,	1  
United Arab Emirates	,	600.00		,	6  
India	    		,	600.00		,	3  
Macedonia		,	565.41		,	1  
Bahrain			,	500.00		,	1  
Panama			,	400.00		,	1  
Afghanistan		,	330.54		,	1  
Northern Mariana Islands,	300.00		,	1       
Pakistan	 	,	240.00		,	2            
Tunisia			,	137.02		,	1  
