Game, Total Prize Money, Players, Tournaments
League of Legends,$11.431.134.13,1278,256
StarCraft II,$11.128.525.54,982,1370
Counter-Strike,$9.334.148.52,1823 ,377  
Dota 2,$9.124.490.17,357 ,176  
StarCraft: Brood War,$5.239.293.15,329 ,174
WarCraft III,	$3.010.817.86,	262 ,	553  
	Halo 3,	$1.689.476.18,	86 ,	20  
	Counter-Strike: Global Offensive,	$1.633.528.18	557 ,	107  
	World of Warcraft,	$1.407.150.00,	72 ,	37  
	Call of Duty: Black Ops, 2	$1.341.905.35,	73 ,	19  
	Halo 2,	$1.314.175.00,	89 ,	55  
	Call of Duty: Ghosts,	$1.114.097.25,	68 ,	6  
	Painkiller,	$1.015.000.00,	48 ,	13  
	Call of Duty: Modern Warfare 3,	$1.013.200.00,	49 ,	3  
	Quake III Arena,	$947.193.18,	193 ,	68  
	Counter-Strike: Source,	$829.012.60,	160 ,	56  
	Halo: Reach,	$716.000.00,	59 ,	8  
	Defense of the Ancients (WC3),	$624.107.04,	210 ,	57  
	Quake 4,	$494.532.20,	76 ,	38  
	Quake Live,	$494.234.64,	100 ,	229  
	Halo 4,	$358.500.00,	25 ,	4  
	Call of Duty: Black Ops,	$292.600.00,	66 ,	8  
	Doom 3,	$257.748.16,	14 ,	4  
	Dead or Alive 4,	$245.695.31,	27 ,	8  
	Super Street Fighter IV Arcade Edition,	$239.016.02,	85 ,	38  
	Gears of War,	$226.000.00,	0 ,	11  
	ShootMania Storm,	$224.811.80,	65 ,	31  
	Age of Empires II: The Age of Kings,	$217.000.00,	27 ,	5  
	Forza Motorsport 2,	$207.000.00,	16 ,	1 
	Smite,	$200.476.80,	16 ,	1 
	Rainbow Six: Vegas,	$167.500.00,	0 ,	6  
	FIFA 13,	$150.595.75,	8 ,	5  
	Super Smash Bros. Melee,	$144.735.26,	80 ,	49  
	Madden NFL 13,	$140.000.00,	1 ,	1 
	Heroes of Newerth,	$139.654.61,	10 ,	8  
	Gears of War 2,	$135.000.00,	0 ,	5  
	Mortal Kombat 9,	$131.250.00,	47 ,	18  
	Unreal Tournament,	$128.000.00,	10 ,	3  
	Unreal Tournament 2003,	$123.699.05,	17 ,	6  
	FIFA 08,	$121.708.46,	13 ,	8  
	World of Tanks,	$120.904.54,	36 ,	5  
	Unreal Tournament 3,	$104.812.82,	3 ,	3  
	Halo: Combat Evolved,	$88.675.00,	17 ,	8  
	Counter-Strike: Condition Zero,	$85.000.00,	16 ,	1 
	Unreal Tournament 2004,	$83.024.68,	19 ,	9  
	Rainbow Six: Vegas 2,	$79.000.00,	0 ,	6  
	Warhammer 40.000: Dawn of War,	$78.000.00,	5 ,	2  
	TrackMania Nations,	$76.926.80,	10 ,	11  
	Street Fighter X Tekken,	$70.630.00,	63 , 	19         
	NHL 13,	$70.000.00,	1 ,	1 
