Country,ID,	Name,	Total (Game),		Total (Overall),% of Total
South Korea, MC, Min Chul Jang,	$452.845.98,		$452.926.25,	99.98%
South Korea, Mvp, Jong Hyun Jung,	$388.490.06,		$393.116.38,	98.82%
South Korea, NesTea, Jae Duk Lim,	$270.994.80,		$270.994.80,	100.00%
South Korea, Polt,	Sung Hoon Choi,	$264.906.72,		$264.906.72,	100.00%
South Korea, sOs, Yoo Jin Kim,	$251.889.61,		$252.340.06,	99.82%
South Korea, MMA,	 Sung Won Moon,	$248.959.70,		$248.959.70,	100.00%
France, Stephano,	Ilyes Satouri,	$240.930.15,		$240.930.15,	100.00%
South Korea, PartinG,	Lee Sak Won,	$234.792.40,		$234.792.40,	100.00%
South Korea, HerO,	 Hyeon Deok Song,	$225.210.26,		$225.210.26,	100.00%
South Korea, Life,	Seung Hyun Lee,	$219.512.93,		$219.512.93,	100.00%
South Korea, DongRaeGu,	 Soo Ho Park,	$218.563.73	,	$218.563.73,	100.00%
South Korea, Leenock,	 Dong Nyung Lee,	$215.567.76,		$215.567.76,	100.00%
South Korea, TaeJa,	 Young Suh Yoon,	$190.345.51	,	$190.345.51,	100.00%
South Korea, MarineKing, Jung Hoon Lee,	$183.666.81,		$183.666.81,	100.00%
Sweden, NaNiwa,	Johan Lucchesi,	$163.757.50,		$164.941.48,	99.28%
South Korea, Bomber,	 Ji Sung Choi,	$145.254.79,		$146.637.78,	99.06%
South Korea, Rain,Yoon Jong Jung,	$142.046.73,		$142.046.73,	100.00%
South Korea, PuMa,	 Ho Joon Lee,	$141.716.27,		$142.447.64,	99.49%
South Korea, Jaedong,	Jae Dong Lee,	$135.873.77,		$511.586.72,	26.56%
South Korea, HyuN, Seok Hyun Ko,	$123.097.48	,	$124.269.98,	99.06%
South Korea, Soulkey, Min Chul Kim,	$115.156.26	,	$120.696.64,	95.41%
South Korea, aLive, Lee Seok Han,	$110.725.70,		$110.725.70,	100.00%
South Korea, INnoVation, Shin Hyung Lee,	$109.681.17,		$113.178.87,	96.91%
South Korea, FruitDealer, Won Ki Kim,	$102.860.50,		$102.860.50,	100.00%
South Korea, viOLet,	Dong Hwan Kim,	$96.107.97,		$98.667.50,	97.41%
Canada, HuK,	Chris Loranger,	$93.575.09	,	$93.575.09,	100.00%
Poland, Nerchio,	Artur Bloch,	$92.252.61,		$92.252.61,	100.00%
Poland, MaNa,	Grzegorz Komincz,	$91.862.82,		$91.862.82,	100.00%
Sweden, ThorZaIN,	Marcus Eklöf,	$90.789.82,		$93.000.80,	97.62%
Taiwan, Sen,	 Chia Cheng Yang,	$87.288.72	,	$89.788.72,	97.22%
South Korea, Creator, Hyun Woo Jang,	$86.227.41,		$86.227.41,	100.00%
South Korea, Genius, Min Soo Jung,	$82.458.65,		$82.458.65,	100.00%
