Name, Total Prize Pool, Game, Players(Teams)
The International 2013,	$2.874.407.00,	Dota 2,	 		40(8)
LoL Season Three World Championship,	$2.050.000.00,	League of Legends,	 		70(14)
LoL Season Two World Championship,	$1.970.000.00,	League of Legends,	60(12)
The International 2011,	$1.600.000.00,	Dota 2	 ,42(8)
The International 2012,	$1.600.000.00,	Dota 2,	 40(8)
Call of Duty Championship 2013,	$1.000.000.00,	Call of Duty: Black Ops 2,32(8)
Call of Duty Championship 2014,	$1.000.000.00,	Call of Duty: Ghosts,	32(8)
Call of Duty XP,	$1.000.000.00,	Call of Duty: Modern Warfare 3,  	28(8)
CPL World Tour Finals 2005,	$510.000.00,	Painkiller,	 	 	32
CGS 2008,	$455.000.00,	Counter-Strike: Source,	 	40(8)
Halo 4 Global Championship,	$300.000.00,	Halo 4	 ,	 	8 
MLG Dallas 2010,	$280.000.00,	Halo 3,	 	 32(8)
MLG Las Vegas 2007,	$280.000.00,	Halo 2	,  	28(8)
MLG Las Vegas 2008,	$280.000.00,	Halo 3	 , 	32(8)
MLG Orlando 2009,	$280.000.00,	Halo 3,	 	32(8)
MLG Providence 2011,	$280.000.00,	Halo: Reach,  	28(8)
DreamHack Winter 2013,	$250.000.00,	Counter-Strike: Global Offensive,	 	80(16)
EMS One Katowice 2014,	$250.000.00,	Counter-Strike: Global Offensive,	 	80(16)
WCS 2012: Global Finals,	$250.000.00,	StarCraft II,	 	 	32
WCS 2013 Global Finals,	$250.000.00,	StarCraft II,	 	 	16
OnGameNet The Champions 2013-2014,	$244.353.96,	League of Legends, 	90(22)
OnGameNet The Champions Summer 2013,	$243.265.12,	League of Legends,	80(22)
OnGameNet The Champions Spring 2013,	$239.425.41,	League of Legends,	60(18)
LPL Summer 2013,	$237.974.10,	League of Legends,	47(8)
LPL Spring 2013,	$236.341.11,	League of Legends,	46(8)
WPC ACE Dota 2 League,	$231.328.48,	Dota 2,	 	15(3)
OnGameNet The Champions Winter 2012,	$228.310.49,	League of Legends,	55(12)
CGS 2008,	$207.000.00,	Forza Motorsport 2,		16(9)
Smite Launch Tournament,	$200.476.80,	Smite,		16(4)
CPL Summer 2003,	$200.000.00,	Counter-Strike,	 	80(16)
GPL Spring 2014,	$200.000.00,	League of Legends, 	60(12)
GPL Winter 2014,	$200.000.00,	League of Legends, 	60(12)
SLTV StarSeries Season IX,	$189.512.00,	Dota 2,	 	40(8)
BlizzCon 2012,	$189.000.00,	World of Warcraft,	 	12(4)
GSL Super Tournament 2011,	$185.832.56,	StarCraft II	, 	 	32
CGS 2008,	$182.000.00,	Dead or Alive 4, 	16(8)
MLG Las Vegas 2006,	$180.000.00,	Halo 2,	 	12(3)
GSL Open Season 2,	$176.942.60,	StarCraft II,	 	 	64 
GSL Open Season 1,	$176.621.52,	StarCraft II,	 	 	64 
GSL Open Season 3,	$172.784.13,	StarCraft II,	 	 	64
Dota 2 Super League,	$171.207.75,	Dota 2,	  	51(10)
OnGameNet The Champions Spring 2012,	$170.532.00,	League of Legends,		80(16)
ESWC 2006,	$160.000.00,	Counter-Strike,	  	40(8)
WCS Korea 2014 Season 1 Premier,	$151.934.79,	StarCraft II,	 	 	32
CPL World Championship 2001,	$150.000.00,	Counter-Strike,	 77(32)
IEM VII - Gamescom,	$150.000.00,	League of Legends,  	40(8)
IEM VII - World Championship,	$150.000.00,	League of Legends,  	55(12)
IEM VIII - World Championship,	$150.000.00,	League of Legends,	40(8)
Season Two Regional Finals - Seattle,	$150.000.00,	League of Legends,	40(8)
WCS 2013 Season 1 Finals,	$150.000.00,	StarCraft II,	 	 	16
WCS 2013 Season 2 Finals,	$150.000.00,	StarCraft II,	 	 	16
WCS 2013 Season 3 Finals,	$150.000.00,	StarCraft II,	 	 	16
GSL Season 5 2012,	$143.054.72,	StarCraft II,	 	 	72
GSL Season 1 2013,	$142.463.34,	StarCraft II,	 	 	72 
GSL Season 4 2012,	$141.480.82,	StarCraft II,	 	 	72 
MLG Providence 2011,	$140.000.00,	Call of Duty: Black Ops,	 	  	32(8)
Virgin Gaming FIFA Challenge 2013,	$140.000.00,	FIFA 13	 ,	 	1
Virgin Gaming MADDEN Challenge 2013,	$140.000.00,	Madden NFL 13,	 	 	1
WSVG ISC 2006,	$139.500.00,	Counter-Strike,	 		80(16)
GSL Season 1 2012,	$138.636.08,	StarCraft II,	 	 	72
MLG Fall Championship 2013,	$136.760.00,	Dota 2,	 	  	40(9)
GSL November 2011,	$135.983.22,	StarCraft II	, 	 	72
GSL Season 3 2012,	$135.264.51,	StarCraft II,	 	 	72
OnGameNet The Champions Summer 2012,	$132.684.68,	League of Legends,	80(16)
GSL Season 2 2012,	$132.387.13,	StarCraft II	, 	 	72
WCS Europe 2014 Season 1 Premier,	$131.000.00,	StarCraft II,	 	 	32
WCS North America 2014 Season 1 Premier,	$131.000.00,	StarCraft II,	 	 	32 
GOMTV MSL #2 2007,	$126.451.20,	StarCraft: Brood War	, 	 	32
GOMTV MSL #3 2007,	$126.425.69,	StarCraft: Brood War,	 	 	32
EM III - Global Finals,	$125.000.00,	Counter-Strike,	 	60(12)
SLTV StarSeries Season VIII,	$124.358.00,	Dota 2,	  	20(4)
D2CL Season 2,	$124.167.00,	Dota 2,	 	  	20(4)
GSL July 2011 (Code S),	$123.866.95,	StarCraft II,	 	 	31
LNL Winter Season 2014,	$123.541.29,	League of Legends,	 	50(8)
GSL August 2011 (Code S),	$122.551.35,	StarCraft II,	 	 	32
EM II - Finals,	$122.500.00,	Counter-Strike,	   	50(10)
EM I - Finals,	$122.423.92,	Counter-Strike,	 	40(8)
GSL May 2011 (Code S),	$121.446.31,	StarCraft II,	 	 	32
GOMTV MSL #4 2008,	$121.112.21,	StarCraft: Brood War, 	 	32
ACOM Fatal1ty Shootout,	$120.748.16,	Doom 3,	 	 	1
BlizzCon 2008,	$120.000.00,	World of Warcraft,	 	9(3)
