Oklahoma City Thunder
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Kevin Durant,24,81,81,38.5,9.0,17.7,.510,1.7,4.1,.416,8.4,9.3,.905,0.6,7.3,7.9,4.6,1.4,1.3,3.5,1.8,28.1
2,Russell Westbrook,24,82,82,34.9,8.2,18.7,.438,1.2,3.7,.323,5.6,7.0,.800,1.4,3.9,5.2,7.4,1.8,0.3,3.3,2.3,23.2
3,Kevin Martin,29,77,0,27.7,4.5,10.1,.450,2.1,4.8,.426,2.8,3.2,.890,0.4,1.9,2.3,1.4,0.9,0.1,1.3,1.8,14.0
4,Serge Ibaka,23,80,80,31.1,5.6,9.7,.573,0.3,0.7,.351,1.8,2.4,.749,2.8,4.9,7.7,0.5,0.4,3.0,1.6,2.7,13.2
5,Thabo Sefolosha,28,81,81,27.5,2.8,5.8,.481,1.3,3.2,.419,0.7,0.9,.826,0.7,3.2,3.9,1.5,1.3,0.5,0.8,2.2,7.6
6,Reggie Jackson,22,70,0,14.2,2.1,4.6,.458,0.3,1.5,.231,0.7,0.9,.839,0.3,2.1,2.4,1.7,0.4,0.2,0.8,1.2,5.3
7,Nick Collison,32,81,2,19.5,2.2,3.7,.595,0.0,0.0,.000,0.7,1.0,.769,1.5,2.6,4.1,1.5,0.6,0.4,0.9,2.4,5.1
8,Kendrick Perkins,28,78,78,25.1,1.8,4.0,.457,0.0,0.0,.000,0.6,0.9,.611,1.4,4.6,6.0,1.4,0.6,1.1,1.4,2.9,4.2
9,Derek Fisher,38,24,0,14.4,1.3,4.0,.333,0.8,2.4,.351,0.6,0.6,.933,0.1,0.8,0.9,0.7,0.6,0.0,0.5,1.3,4.1
10,Jeremy Lamb,20,23,0,6.4,1.0,3.0,.353,0.4,1.3,.300,0.6,0.6,1.000,0.2,0.6,0.8,0.2,0.1,0.1,0.3,0.6,3.1
Houston Rockets
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,James Harden,23,78,78,38.3,7.5,17.1,.438,2.3,6.2,.368,8.6,10.2,.851,0.8,4.1,4.9,5.8,1.8,0.5,3.8,2.3,25.9
2,Chandler Parsons,24,76,76,36.3,6.0,12.4,.486,2.0,5.2,.385,1.5,2.0,.729,1.0,4.3,5.3,3.5,1.0,0.4,1.9,1.9,15.5
3,D-Jeremy Lin,24,82,82,32.2,4.8,10.9,.441,1.1,3.1,.339,2.6,3.4,.785,0.4,2.6,3.0,6.1,1.6,0.4,2.9,2.5,13.4
4,Patrick Patterson,23,47,38,25.9,5.0,9.7,.519,0.7,2.0,.365,0.8,1.0,.755,1.6,3.1,4.7,1.1,0.4,0.6,0.9,1.9,11.6
5,Carlos Delfino,30,67,5,25.2,3.7,9.3,.405,2.4,6.3,.375,0.7,0.8,.857,0.3,3.0,3.3,2.0,1.0,0.1,1.1,1.7,10.6
6,Omer Asik,26,82,82,30.0,4.0,7.5,.541,0.0,0.0,.000,2.0,3.6,.562,3.4,8.3,11.7,0.9,0.6,1.1,2.1,2.7,10.1
7,Marcus Morris,23,54,17,21.4,3.2,7.4,.428,1.4,3.6,.381,0.9,1.4,.653,1.2,2.9,4.1,0.9,0.5,0.3,1.0,2.2,8.6
8,Toney Douglas,26,49,0,18.6,2.8,7.2,.395,1.2,3.3,.377,1.2,1.4,.882,0.5,1.4,1.8,1.9,0.8,0.0,1.1,2.1,8.1
9,Francisco Garcia,31,18,5,17.7,2.3,5.3,.432,1.5,3.9,.386,0.3,0.4,.857,0.1,1.2,1.3,1.1,0.8,0.4,0.7,1.2,6.4
10,Greg Smith,22,70,10,15.9,2.4,3.9,.620,0.0,0.0,.000,1.2,1.9,.623,1.6,3.0,4.6,0.4,0.3,0.6,0.6,2.5,6.0
San Antonio Spurs
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Tony Parker,30,66,66,32.9,7.9,15.1,.522,0.4,1.0,.353,4.2,5.0,.845,0.3,2.7,3.0,7.6,0.8,0.1,2.6,1.4,20.3
2,Tim Duncan,36,69,69,30.1,7.1,14.1,.502,0.0,0.1,.286,3.6,4.3,.817,1.8,8.1,9.9,2.7,0.7,2.7,2.1,1.7,17.8
3,Kawhi Leonard,21,58,57,31.2,4.5,9.1,.494,1.1,3.0,.374,1.8,2.2,.825,1.1,4.9,6.0,1.6,1.7,0.6,1.1,1.7,11.9
4,Manu Ginobili,35,60,0,23.2,3.8,9.0,.425,1.4,3.9,.353,2.7,3.4,.796,0.5,2.9,3.4,4.6,1.3,0.2,2.2,1.9,11.8
5,Danny Green,25,80,80,27.5,3.7,8.3,.448,2.2,5.2,.429,0.8,1.0,.848,0.5,2.6,3.1,1.8,1.2,0.7,1.2,1.6,10.5
