Tm,PitchAge,R/G(allowed),Yr
ARI,27.4,4.25,2012
ATL,27.6,3.70,2012
BAL,27.6,4.35,2012
BOS,28.7,4.98,2012
CHC,27.9,4.69,2012
CHW,27.5,4.17,2012
CIN,27.1,3.63,2012
CLE,27.6,5.22,2012
COL,28.2,5.49,2012
DET,28.2,4.14,2012
HOU,27.2,4.90,2012
KCR,27.3,4.60,2012
LAA,30.1,4.31,2012
LAD,29.0,3.69,2012
MIA,28.8,4.47,2012
MIL,29.0,4.52,2012
MIN,27.8,5.14,2012
NYM,30.3,4.38,2012
NYY,30.3,4.12,2012
OAK,27.9,3.79,2012
PHI,29.1,4.20,2012
PIT,30.2,4.16,2012
SDP,28.0,4.38,2012
SEA,27.9,4.02,2012
SFG,30.0,4.01,2012
STL,28.6,4.00,2012
TBR,28.1,3.56,2012
TEX,28.8,4.36,2012
TOR,27.8,4.84,2012
WSN,27.0,3.67,2012
ARI,27.4,4.09,2011
ATL,28.4,3.73,2011
BAL,28.2,5.31,2011
BOS,30.3,4.55,2011
CHC,29.4,4.67,2011
CHW,28.5,4.36,2011
CIN,27.7,4.44,2011
CLE,26.7,4.69,2011
COL,27.7,4.78,2011
DET,27.8,4.39,2011
FLA,28.0,4.33,2011
HOU,27.2,4.91,2011
KCR,26.4,4.70,2011
LAA,28.4,3.91,2011
LAD,28.6,3.80,2011
MIL,29.3,3.94,2011
MIN,28.5,4.96,2011
NYM,30.0,4.58,2011
NYY,31.0,4.06,2011
OAK,27.4,4.19,2011
PHI,29.2,3.27,2011
PIT,28.1,4.40,2011
SDP,28.1,3.77,2011
SEA,26.8,4.17,2011
SFG,28.5,3.57,2011
STL,30.2,4.27,2011
TBR,27.8,3.79,2011
TEX,28.8,4.18,2011
TOR,27.6,4.70,2011
WSN,27.6,3.99,2011
ARI,27.9,5.16,2010
ATL,30.1,3.88,2010
BAL,28.4,4.85,2010
BOS,29.6,4.59,2010
CHC,28.2,4.73,2010
CHW,29.0,4.35,2010
CIN,28.2,4.23,2010
CLE,26.6,4.64,2010
COL,28.1,4.43,2010
DET,26.5,4.59,2010
FLA,27.1,4.43,2010
HOU,29.6,4.50,2010
KCR,27.5,5.22,2010
LAA,28.3,4.33,2010
LAD,28.1,4.27,2010
MIL,29.2,4.96,2010
MIN,28.6,4.14,2010
NYM,29.5,4.02,2010
NYY,30.3,4.28,2010
OAK,26.0,3.86,2010
PHI,31.1,3.95,2010
PIT,28.6,5.35,2010
SDP,27.2,3.59,2010
SEA,27.1,4.31,2010
SFG,27.9,3.60,2010
STL,30.2,3.96,2010
TBR,28.0,4.01,2010
TEX,27.6,4.24,2010
TOR,28.0,4.49,2010
WSN,28.0,4.58,2010
ARI,27.7,4.83,2009
ATL,28.9,3.96,2009
BAL,28.1,5.41,2009
BOS,29.8,4.54,2009
CHC,28.4,4.17,2009
CHW,29.5,4.52,2009
CIN,29.0,4.46,2009
CLE,27.8,5.34,2009
COL,28.5,4.41,2009
DET,26.6,4.57,2009
FLA,26.3,4.73,2009
HOU,31.2,4.75,2009
KCR,28.7,5.20,2009
LAA,28.6,4.70,2009
LAD,27.8,3.77,2009
MIL,30.0,5.05,2009
MIN,27.9,4.69,2009
NYM,29.2,4.67,2009
NYY,29.3,4.65,2009
OAK,25.7,4.70,2009
PHI,31.2,4.38,2009
PIT,26.3,4.77,2009
SDP,26.8,4.75,2009
SEA,27.4,4.27,2009
SFG,28.7,3.77,2009
STL,30.1,3.95,2009
TBR,28.4,4.65,2009
TEX,27.7,4.57,2009
TOR,28.4,4.76,2009
WSN,27.4,5.40,2009
ARI,29.4,4.36,2008
ATL,28.6,4.80,2008
BAL,27.9,5.40,2008
BOS,29.2,4.28,2008
CHC,28.9,4.17,2008
CHW,28.3,4.47,2008
CIN,28.7,4.94,2008
CLE,28.6,4.70,2008
COL,28.5,5.07,2008
DET,29.9,5.29,2008
FLA,26.6,4.76,2008
HOU,30.9,4.61,2008
KCR,27.6,4.82,2008
LAA,27.6,4.30,2008
LAD,29.5,4.00,2008
MIL,29.9,4.25,2008
MIN,27.5,4.57,2008
NYM,29.0,4.41,2008
NYY,30.6,4.49,2008
OAK,26.5,4.29,2008
PHI,30.6,4.20,2008
PIT,26.5,5.46,2008
SDP,30.2,4.72,2008
SEA,28.5,5.01,2008
SFG,27.1,4.69,2008
STL,30.2,4.48,2008
TBR,27.5,4.14,2008
TEX,28.1,5.97,2008
TOR,28.6,3.77,2008
WSN,27.3,5.12,2008
ARI,28.2,4.52,2007
ATL,29.4,4.52,2007
BAL,29.0,5.36,2007
BOS,31.1,4.06,2007
CHC,28.4,4.26,2007
CHW,27.7,5.18,2007
CIN,29.1,5.27,2007
CLE,29.4,4.35,2007
COL,28.1,4.65,2007
DET,28.5,4.92,2007
FLA,26.2,5.50,2007
HOU,30.2,5.02,2007
KCR,27.1,4.80,2007
LAA,28.4,4.51,2007
LAD,31.1,4.49,2007
MIL,29.1,4.79,2007
MIN,27.4,4.48,2007
NYM,31.3,4.63,2007
NYY,31.4,4.80,2007
OAK,26.9,4.68,2007
PHI,30.6,5.07,2007
PIT,27.1,5.22,2007
SDP,31.5,4.09,2007
SEA,28.1,5.02,2007
SFG,27.3,4.44,2007
STL,29.6,5.12,2007
TBD,26.9,5.83,2007
TEX,27.7,5.21,2007
TOR,27.3,4.31,2007
WSN,27.5,4.83,2007
ARI,28.8,4.86,2006
ATL,29.4,4.97,2006
BAL,27.9,5.55,2006
BOS,31.1,5.09,2006
CHC,28.0,5.15,2006
CHW,27.9,4.90,2006
CIN,29.5,4.94,2006
CLE,28.6,4.83,2006
COL,28.8,5.01,2006
DET,28.8,4.17,2006
FLA,25.9,4.77,2006
HOU,29.8,4.44,2006
KCR,27.7,5.99,2006
LAA,27.9,4.52,2006
LAD,30.4,4.64,2006
MIL,28.3,5.14,2006
MIN,26.9,4.22,2006
NYM,32.2,4.51,2006
NYY,32.5,4.73,2006
OAK,27.0,4.49,2006
PHI,30.5,5.01,2006
PIT,27.0,4.92,2006
SDP,30.6,4.19,2006
SEA,28.0,4.89,2006
SFG,28.7,4.91,2006
STL,28.6,4.73,2006
TBD,27.0,5.28,2006
TEX,28.3,4.84,2006
TOR,28.1,4.65,2006
WSN,28.9,5.38,2006
ARI,27.4,5.28,2005
ATL,28.6,4.16,2005
BAL,28.3,4.94,2005
BOS,33.6,4.97,2005
CHC,28.2,4.41,2005
CHW,29.3,3.98,2005
CIN,28.9,5.45,2005
CLE,29.2,3.96,2005
COL,27.3,5.32,2005
DET,28.0,4.86,2005
FLA,29.5,4.52,2005
HOU,30.3,3.74,2005
KCR,25.7,5.77,2005
LAA,28.5,3.97,2005
LAD,28.5,4.66,2005
MIL,28.0,4.30,2005
MIN,27.9,4.09,2005
NYM,31.9,4.00,2005
NYY,34.2,4.87,2005
OAK,26.6,4.06,2005
PHI,29.7,4.48,2005
PIT,28.7,4.75,2005
SDP,31.0,4.48,2005
SEA,31.4,4.64,2005
SFG,30.0,4.60,2005
STL,29.7,3.91,2005
TBD,27.4,5.78,2005
TEX,30.5,5.30,2005
TOR,28.2,4.35,2005
WSN,28.9,4.15,2005
ANA,29.0,4.53,2004
ARI,29.3,5.55,2004
ATL,30.1,4.12,2004
BAL,27.4,5.12,2004
BOS,32.5,4.74,2004
CHC,29.1,4.10,2004
CHW,28.2,5.13,2004
CIN,28.5,5.60,2004
CLE,27.3,5.29,2004
COL,28.8,5.70,2004
DET,27.5,5.21,2004
FLA,27.8,4.32,2004
HOU,29.6,4.31,2004
KCR,27.4,5.59,2004
LAD,29.5,4.22,2004
MIL,27.2,4.70,2004
MIN,28.2,4.41,2004
MON,26.5,4.75,2004
NYM,32.5,4.51,2004
NYY,32.9,4.99,2004
OAK,28.4,4.58,2004
PHI,29.8,4.82,2004
PIT,27.7,4.62,2004
SDP,30.0,4.35,2004
SEA,30.4,5.08,2004
SFG,30.1,4.75,2004
STL,30.1,4.07,2004
TBD,27.5,5.23,2004
TEX,30.6,4.90,2004
TOR,28.6,5.11,2004
ANA,29.0,4.59,2003
ARI,29.2,4.23,2003
ATL,31.1,4.57,2003
BAL,29.2,5.03,2003
BOS,31.2,4.99,2003
CHC,28.2,4.22,2003
CHW,27.9,4.41,2003
CIN,28.0,5.47,2003
CLE,26.3,4.80,2003
COL,28.0,5.51,2003
DET,25.3,5.73,2003
FLA,26.3,4.27,2003
HOU,27.6,4.18,2003
KCR,28.0,5.35,2003
LAD,31.2,3.43,2003
MIL,27.6,5.39,2003
MIN,29.7,4.68,2003
MON,26.7,4.42,2003
NYM,31.6,4.68,2003
NYY,33.6,4.39,2003
OAK,27.4,3.97,2003
PHI,29.0,4.30,2003
PIT,28.3,4.94,2003
SDP,27.8,5.13,2003
SEA,29.8,3.93,2003
SFG,28.6,3.96,2003
STL,31.2,4.91,2003
TBD,26.4,5.26,2003
TEX,28.1,5.98,2003
TOR,29.0,5.10,2003
ANA,30.2,3.98,2002
ARI,31.7,4.16,2002
ATL,31.1,3.51,2002
BAL,27.8,4.77,2002
BOS,31.0,4.10,2002
CHC,27.6,4.69,2002
CHW,25.8,4.93,2002
CIN,28.7,4.78,2002
CLE,28.1,5.17,2002
COL,28.5,5.54,2002
DET,28.1,5.37,2002
FLA,26.1,4.71,2002
HOU,27.3,4.29,2002
KCR,27.8,5.50,2002
LAD,31.0,3.97,2002
MIL,26.8,5.07,2002
MIN,28.8,4.42,2002
MON,27.7,4.43,2002
NYM,30.3,4.37,2002
NYY,33.1,4.33,2002
OAK,27.4,4.04,2002
PHI,28.5,4.50,2002
PIT,28.1,4.53,2002
SDP,27.8,5.03,2002
SEA,30.2,4.31,2002
SFG,29.2,3.80,2002
STL,30.2,4.00,2002
TBD,26.9,5.70,2002
TEX,29.7,5.44,2002
TOR,27.4,5.11,2002
ANA,28.9,4.51,2001
ARI,30.9,4.18,2001
ATL,31.1,3.97,2001
BAL,27.6,5.12,2001
BOS,30.7,4.63,2001
CHC,29.8,4.33,2001
CHW,26.2,4.91,2001
CIN,27.3,5.25,2001
CLE,29.1,5.07,2001
COL,28.7,5.59,2001
DET,28.1,5.41,2001
FLA,26.5,4.59,2001
HOU,28.4,4.75,2001
KCR,27.3,5.30,2001
LAD,30.5,4.59,2001
MIL,27.3,4.98,2001
MIN,27.4,4.73,2001
MON,27.4,5.01,2001
NYM,31.1,4.40,2001
NYY,30.9,4.43,2001
OAK,28.0,3.98,2001
PHI,28.9,4.44,2001
PIT,28.1,5.30,2001
SDP,28.7,5.01,2001
SEA,30.8,3.87,2001
SFG,29.2,4.62,2001
STL,29.3,4.22,2001
TBD,26.9,5.48,2001
TEX,28.5,5.98,2001
TOR,28.5,4.65,2001
ANA,28.9,5.36,2000
ARI,31.6,4.65,2000
ATL,31.4,4.41,2000
BAL,29.1,5.64,2000
BOS,30.1,4.60,2000
CHC,28.4,5.58,2000
CHW,26.5,5.18,2000
CIN,28.4,4.69,2000
CLE,30.2,5.04,2000
COL,29.7,5.54,2000
DET,29.1,5.10,2000
FLA,26.7,4.95,2000
HOU,28.0,5.83,2000
KCR,25.8,5.74,2000
LAD,29.5,4.50,2000
MIL,27.4,5.07,2000
MIN,26.6,5.43,2000
MON,26.1,5.57,2000
NYM,31.0,4.56,2000
NYY,32.0,5.06,2000
OAK,29.5,5.05,2000
PHI,28.7,5.12,2000
PIT,27.1,5.48,2000
SDP,27.5,5.03,2000
SEA,29.3,4.81,2000
SFG,28.5,4.61,2000
STL,29.3,4.76,2000
TBD,29.3,5.23,2000
TEX,28.7,6.01,2000
TOR,28.9,5.60,2000
ANA,31.5,5.10,1999
ARI,30.6,4.17,1999
ATL,28.6,4.08,1999
BAL,30.1,5.03,1999
BOS,30.1,4.43,1999
CHC,28.8,5.68,1999
CHW,26.4,5.37,1999
CIN,28.0,4.36,1999
CLE,30.6,5.31,1999
COL,28.9,6.35,1999
DET,27.6,5.48,1999
FLA,26.0,5.26,1999
HOU,27.4,4.17,1999
KCR,26.9,5.72,1999
LAD,28.6,4.86,1999
MIL,28.2,5.50,1999
MIN,26.3,5.25,1999
MON,25.5,5.27,1999
NYM,32.7,4.36,1999
NYY,31.2,4.51,1999
OAK,31.4,5.22,1999
PHI,28.3,5.22,1999
PIT,26.8,4.86,1999
SDP,28.8,4.82,1999
SEA,28.2,5.59,1999
SFG,28.6,5.13,1999
STL,28.6,5.20,1999
TBD,29.3,5.64,1999
TEX,30.1,5.30,1999
TOR,27.9,5.32,1999
ANA,29.8,4.83,1998
ARI,27.4,5.01,1998
ATL,29.5,3.59,1998
BAL,30.5,4.85,1998
BOS,29.5,4.50,1998
CHC,28.8,4.86,1998
CHW,26.4,5.71,1998
CIN,28.0,4.69,1998
CLE,29.8,4.81,1998
COL,27.8,5.28,1998
DET,26.6,5.33,1998
FLA,24.5,5.70,1998
HOU,27.8,3.83,1998
KCR,28.8,5.58,1998
LAD,27.6,4.19,1998
MIL,28.1,5.01,1998
MIN,28.7,5.05,1998
MON,25.7,4.83,1998
NYM,31.7,3.98,1998
NYY,30.2,4.05,1998
OAK,31.0,5.35,1998
PHI,29.3,4.99,1998
PIT,26.5,4.40,1998
SDP,29.8,3.92,1998
SEA,31.3,5.31,1998
SFG,31.8,4.53,1998
STL,28.9,4.80,1998
TBD,27.5,4.64,1998
TEX,29.9,5.38,1998
TOR,30.3,4.71,1998
ANA,28.3,4.90,1997
ATL,28.5,3.59,1997
BAL,30.7,4.20,1997
BOS,27.8,5.29,1997
CHC,28.2,4.69,1997
CHW,29.4,5.17,1997
CIN,29.6,4.72,1997
CLE,29.7,5.06,1997
COL,27.9,5.60,1997
DET,27.5,4.88,1997
FLA,27.5,4.13,1997
HOU,27.0,4.07,1997
KCR,27.6,5.09,1997
LAD,28.8,3.98,1997
MIL,28.3,4.61,1997
MIN,28.1,5.31,1997
MON,26.4,4.57,1997
NYM,29.4,4.38,1997
NYY,29.6,4.25,1997
OAK,27.8,5.84,1997
PHI,27.9,5.19,1997
PIT,25.7,4.69,1997
SDP,28.1,5.50,1997
SEA,30.4,5.14,1997
SFG,28.8,4.90,1997
STL,29.5,4.37,1997
TEX,29.7,5.08,1997
TOR,28.8,4.28,1997
ATL,27.9,4.00,1996
BAL,28.9,5.54,1996
BOS,28.7,5.69,1996
CAL,29.1,5.86,1996
CHC,28.3,4.76,1996
CHW,27.8,4.90,1996
CIN,29.2,4.77,1996
CLE,30.3,4.78,1996
COL,28.8,5.95,1996
DET,26.7,6.81,1996
FLA,28.0,4.34,1996
HOU,28.5,4.89,1996
KCR,29.0,4.88,1996
LAD,28.2,4.02,1996
MIL,27.2,5.55,1996
MIN,25.8,5.56,1996
MON,27.5,4.12,1996
NYM,27.4,4.81,1996
NYY,29.3,4.86,1996
OAK,27.1,5.56,1996
PHI,27.7,4.88,1996
PIT,27.9,5.14,1996
SDP,28.7,4.21,1996
SEA,27.8,5.56,1996
SFG,28.2,5.32,1996
STL,30.9,4.36,1996
TEX,30.5,4.90,1996
TOR,28.3,4.99,1996
ATL,26.8,3.45,1993
BAL,28.4,4.60,1993
BOS,30.6,4.31,1993
CAL,28.8,4.75,1993
CHC,28.3,4.53,1993
CHW,26.6,4.10,1993
CIN,27.9,4.85,1993
CLE,27.3,5.02,1993
COL,27.1,5.97,1993
DET,30.1,5.17,1993
FLA,29.7,4.47,1993
HOU,28.3,3.89,1993
KCR,27.4,4.28,1993
LAD,29.1,4.09,1993
MIL,27.3,4.89,1993
MIN,27.5,5.12,1993
MON,27.9,4.18,1993
NYM,29.2,4.59,1993
NYY,28.9,4.70,1993
OAK,30.9,5.22,1993
PHI,28.8,4.57,1993
PIT,27.6,4.98,1993
SDP,26.7,4.77,1993
SEA,28.3,4.51,1993
SFG,28.5,3.93,1993
STL,28.5,4.59,1993
