Tm,BatAge,R/G(scored),Yr
ARI,28.3,4.53,2012
ATL,28.4,4.32,2012
BAL,28.0,4.40,2012
BOS,29.3,4.53,2012
CHC,27.8,3.78,2012
CHW,29.8,4.62,2012
CIN,28.8,4.13,2012
CLE,27.8,4.12,2012
COL,28.0,4.68,2012
DET,28.0,4.48,2012
HOU,26.6,3.60,2012
KCR,26.1,4.17,2012
LAA,28.9,4.73,2012
LAD,30.3,3.93,2012
MIA,28.3,3.76,2012
MIL,29.1,4.79,2012
MIN,28.8,4.33,2012
NYM,27.9,4.01,2012
NYY,32.7,4.96,2012
OAK,27.7,4.40,2012
PHI,31.1,4.22,2012
PIT,27.7,4.02,2012
SDP,27.4,4.02,2012
SEA,27.1,3.82,2012
SFG,27.8,4.43,2012
STL,29.2,4.72,2012
TBR,29.7,4.30,2012
TEX,29.7,4.99,2012
TOR,27.9,4.42,2012
WSN,27.2,4.51,2012
ARI,28.3,4.51,2011
ATL,28.9,3.96,2011
BAL,28.4,4.37,2011
BOS,30.0,5.40,2011
CHC,29.2,4.04,2011
CHW,29.9,4.04,2011
CIN,28.6,4.54,2011
CLE,27.8,4.35,2011
COL,28.6,4.54,2011
DET,28.6,4.86,2011
FLA,27.4,3.86,2011
HOU,28.2,3.80,2011
KCR,25.8,4.51,2011
LAA,28.9,4.12,2011
LAD,29.8,4.00,2011
MIL,28.9,4.45,2011
MIN,27.5,3.82,2011
NYM,28.1,4.43,2011
NYY,30.5,5.35,2011
OAK,29.0,3.98,2011
PHI,31.5,4.40,2011
PIT,27.2,3.77,2011
SDP,28.0,3.66,2011
SEA,29.3,3.43,2011
SFG,30.2,3.52,2011
STL,29.3,4.70,2011
TBR,28.3,4.36,2011
TEX,29.2,5.28,2011
TOR,28.4,4.59,2011
WSN,28.4,3.88,2011
ARI,26.8,4.40,2010
ATL,28.6,4.56,2010
BAL,28.7,3.78,2010
BOS,30.8,5.05,2010
CHC,29.3,4.23,2010
CHW,30.6,4.64,2010
CIN,29.0,4.88,2010
CLE,27.2,3.99,2010
COL,28.8,4.75,2010
DET,28.8,4.64,2010
FLA,26.9,4.44,2010
HOU,29.6,3.77,2010
KCR,28.8,4.17,2010
LAA,29.5,4.20,2010
LAD,30.2,4.12,2010
MIL,27.9,4.63,2010
MIN,28.4,4.82,2010
NYM,28.4,4.05,2010
NYY,30.2,5.30,2010
OAK,27.7,4.09,2010
PHI,31.8,4.77,2010
PIT,26.5,3.62,2010
SDP,29.1,4.10,2010
SEA,29.4,3.17,2010
SFG,29.4,4.30,2010
STL,28.8,4.54,2010
TBR,27.7,4.95,2010
TEX,28.3,4.86,2010
TOR,29.3,4.66,2010
WSN,29.1,4.04,2010
ARI,26.5,4.44,2009
ATL,28.8,4.54,2009
BAL,28.7,4.57,2009
BOS,30.0,5.38,2009
CHC,29.9,4.39,2009
CHW,29.8,4.47,2009
CIN,27.9,4.15,2009
CLE,27.4,4.77,2009
COL,27.8,4.96,2009
DET,29.6,4.56,2009
FLA,27.0,4.77,2009
HOU,31.6,3.97,2009
KCR,27.8,4.23,2009
LAA,29.5,5.45,2009
LAD,29.7,4.81,2009
MIL,29.3,4.85,2009
MIN,27.7,5.01,2009
NYM,29.4,4.14,2009
NYY,30.4,5.65,2009
OAK,28.9,4.69,2009
PHI,31.3,5.06,2009
PIT,27.0,3.95,2009
SDP,28.0,3.94,2009
SEA,29.7,3.95,2009
SFG,29.0,4.06,2009
STL,28.5,4.51,2009
TBR,28.0,4.96,2009
TEX,27.8,4.84,2009
TOR,29.9,4.93,2009
WSN,28.4,4.38,2009
ARI,26.7,4.44,2008
ATL,27.1,4.65,2008
BAL,30.0,4.86,2008
BOS,29.7,5.22,2008
CHC,30.0,5.31,2008
CHW,30.4,4.98,2008
CIN,28.6,4.35,2008
CLE,27.7,4.97,2008
