No.,Name,Win Rate,Matches,Wins,Losses
01,Amumu,55.67%,3010513,1675986,1334527
02,Fiora,55.15%,2052387,1131986,920401
03,Rammus,54.55%,1424842,777233,647609
04,Warwick,54.50%,3574052,1947854,1626198
05,Wukong,54.34%,2244968,1219859,1025109
06,Talon,53.85%,2226322,1198768,1027554
07,Blitzcrank,53.67%,7630510,4095016,3535494
08,Leona,53.61%,5195443,2785344,2410099
09,Janna,53.55%,1421208,761076,660132
10,Swain,53.51%,885174,473642,411532
11,Heimerdinger,53.22%,1839072,978838,860234
12,Katarina,52.95%,4853193,2569654,2283539
13,Sona,52.84%,1960689,1035944,924745
14,Tryndamere,52.75%,2561394,1351263,1210131
15,Sejuani,52.71%,594968,313580,281388
16,Brand,52.63%,1071346,563866,507480
17,Malphite,52.59%,2350641,1236287,1114354
18,Jarvan IV,52.50%,3693803,1939282,1754521
19,Miss Fortune,52.48%,3200661,1679858,1520803
20,Fiddlesticks,52.37%,2667753,1397002,1270751
21,Teemo,52.30%,4030850,2108175,1922675
22,Malzahar,52.27%,1424166,744436,679730
23,Jinx,52.27%,5221586,2729319,2492267
24,Maokai,52.15%,2462796,1284389,1178407
25,Xin Zhao,52.10%,3300485,1719538,1580947
26,Tristana,51.98%,7180147,3732065,3448082
27,Akali,51.88%,3142042,1630237,1511805
28,Morgana,51.87%,5230845,2713385,2517460
29,Rumble,51.70%,520903,269303,251600
30,Zyra,51.70%,1527423,789650,737773
31,Taric,51.69%,679200,351091,328109
32,Ahri,51.62%,4091961,2112089,1979872
33,Vi,51.55%,3351547,1727791,1623756
34,Annie,51.41%,2505310,1287900,1217410
35,Ashe,51.40%,3199557,1644510,1555047
36,Vel'Koz,51.36%,1870689,960786,909903
37,Lucian,51.32%,6155669,3159385,2996284
38,Yorick,51.29%,438646,224964,213682
39,Galio,51.27%,568269,291348,276921
40,Kog'Maw,51.21%,1270434,650646,619788
41,Graves,51.21%,2468482,1264118,1204364
42,Lux,51.19%,3444545,1763355,1681190
43,Nasus,51.18%,3034525,1553098,1481427
44,Volibear,51.02%,2554761,1303326,1251435
45,Corki,50.99%,1948842,993686,955156
46,Kha'Zix,50.94%,4420874,2252122,2168752
47,Draven,50.88%,3574671,1818742,1755929
48,Fizz,50.84%,4328435,2200717,2127718
49,Nami,50.82%,3252311,1652909,1599402
50,Nautilus,50.74%,883995,448537,435458
51,Quinn,50.70%,1101885,558637,543248
52,Irelia,50.68%,1420287,719853,700434
53,Master Yi,50.57%,5598979,2831592,2767387
54,Karthus,50.57%,713309,360688,352621
55,Ryze,50.51%,2661991,1344681,1317310
56,Pantheon,50.50%,3165495,1598461,1567034
57,Braum,50.35%,3738712,1882589,1856123
58,Mordekaiser,50.26%,683687,343595,340092
59,Ziggs,50.23%,1568867,787987,780880
60,Udyr,50.21%,2129357,1069242,1060115
61,Zilean,50.15%,1463634,733967,729667
62,Sivir,50.14%,1575707,790110,785597
63,Varus,49.98%,1507978,753688,754290
64,Darius,49.91%,2212272,1104223,1108049
65,Xerath,49.90%,1980059,988026,992033
66,Shaco,49.85%,2410898,1201884,1209014
67,Diana,49.80%,1769070,881049,888021
68,Skarner,49.77%,586762,292059,294703
69,Poppy,49.73%,692423,344315,348108
70,Kayle,49.68%,1466212,728432,737780
71,Caitlyn,49.67%,6892061,3423064,3468997
72,Singed,49.67%,659444,327519,331925
73,Gangplank,49.58%,1581366,784052,797314
74,Lissandra,49.53%,1403704,695293,708411
75,Orianna,49.53%,2542809,1259503,1283306
76,Anivia,49.53%,598874,296599,302275
77,Nunu,49.51%,1081981,535646,546335
78,Riven,49.46%,4079134,2017573,2061561
79,Yasuo,49.44%,8434986,4170240,4264746
80,Aatrox,49.41%,1210700,598267,612433
81,Syndra,49.41%,1844212,911194,933018
82,Hecarim,49.32%,1837330,906084,931246
83,Zed,49.18%,6486173,3190219,3295954
84,Vladimir,49.15%,1183405,581611,601794
85,Thresh,49.02%,6926924,3395400,3531524
86,Jax,48.80%,3375341,1647334,1728007
87,Trundle,48.79%,551822,269256,282566
88,Kennen,48.70%,1006547,490193,516354
89,Sion,48.64%,517705,251818,265887
90,Karma,48.63%,1952415,949462,1002953
91,Cho'Gath,48.45%,1008161,488482,519679
92,Jayce,48.43%,1875537,908341,967196
93,Nidalee,48.32%,4737744,2289307,2448437
94,Alistar,48.32%,3170872,1532039,1638833
95,Lulu,48.31%,2639953,1275361,1364592
96,Vayne,48.27%,8304076,4008726,4295350
97,Renekton,48.20%,2087975,1006478,1081497
98,Ezreal,48.14%,5157575,2483046,2674529
99,Zac,48.12%,560091,269511,290580
100,Garen,48.07%,1794579,862740,931839
101,Veigar,48.04%,2177252,1045870,1131382
102,Viktor,47.89%,737154,353022,384132
103,Dr. Mundo,47.69%,1234345,588695,645650
104,Twisted Fate,47.62%,1807345,860658,946687
105,Nocturne,47.59%,1512240,719643,792597
106,Shyvana,47.54%,1303507,619656,683851
107,Olaf,47.41%,1523315,722157,801158
108,Gnar,47.03%,6443441,3030526,3412915
109,Lee Sin,47.02%,8142482,3828832,4313650
110,Rengar,46.98%,2868181,1347477,1520704
111,Shen,46.61%,1302516,607118,695398
112,Soraka,46.48%,1126702,523675,603027
113,Evelynn,46.10%,1237233,570426,666807
114,Cassiopeia,45.68%,1006320,459678,546642
115,Gragas,45.54%,986234,449103,537131
116,Twitch,45.49%,1997041,908425,1088616
117,Elise,45.42%,1045676,474924,570752
118,Kassadin,45.17%,1019339,460475,558864
119,LeBlanc,44.79%,1678076,751538,926538
120,Urgot,43.58%,510481,222451,288030
121,Azir,43.09%,124308,53570,70738
