region	drink	count
Espresso	Latte	60
Steamed Milk	Latte	300
Foamed Milk	Latte	2
Espresso	Mocha	60
Steamed Milk	Mocha	30
Chocolate	Mocha	60
Espresso	Cappuccino	60
Steamed Milk	Cappuccino	60
Foamed Milk	Cappuccino	60
Drip Coffee	Cafe Au Lait	60
Steamed Milk	Cafe Au Lait	60
Espresso	Americano	30
Hot Water	Americano	60
Espresso	Cafe Noisette	60
Steamed Milk	Cafe Noisette	30
Espresso	Macchiato	60
Foamed Milk	Macchiato	5
Espresso	Con Panna	60
Whipped Cream	Con Panna	90
Espresso	Flat White	60
Steamed Milk	Flat White	120
Espresso	Black Eye	60
Drip Coffee	Black Eye	120
Espresso	Galao	60
Foamed Milk	Galao	90	
