CAMIS,DBA,BORO,CUISINECODE,SCORE,CURRENTGRADE
40280083,INTERCONTINENTAL THE BARCLAY,1,03,4,A
40356649,REGINA CATERERS,3,03,12,A
40356731,TASTE THE TROPICS ICE CREAM,3,43,8,A
40357217,WILD ASIA,2,03,4,A
40360045,SEUDA FOODS,3,50,13,A
40361521,GLORIOUS FOOD,1,03,16,B
40362098,HARRIET'S KITCHEN,1,18,13,A
40361322,CARVEL ICE CREAM,4,43,10,A
40361708,BULLY'S DELI,1,27,12,A
40362274,ANGELIKA FILM CENTER,1,03,9,A
40362715,THE COUNTRY CAFE,1,83,13,A
40362869,SHASHEMENE INT'L RESTAURA,3,17,7,A
40363021,DOWNTOWN DELI,1,03,9,A
40362432,HO MEI RESTAURANT,4,20,10,A
40363117,MEJLANDER & MULGANNON,3,03,11,A
40363289,HAPPY GARDEN,2,20,8,A
40363644,DOMINO'S PIZZA,1,62,11,A
30191841,DJ REYNOLDS PUB AND RESTAURANT,1,03,11,A
40356442,KOSHER ISLAND,5,50,12,A
40356483,WILKEN'S FINE FOOD,3,27,10,A
40363098,DUNKIN' DONUTS,3,29,9,A
40363333,TONY'S DELI,4,27,8,A
40363685,BERKELY,1,03,5,A
40363804,WINTER CATERERS,5,03,13,A
40364149,AUNTIE ANNE'S PRETZELS TRACK 18,1,07,7,A
40357437,C & C CATERING SERVICE,3,03,5,A
40360076,CARVEL ICE CREAM,3,43,2,A
40363565,HOT BAGELS,4,07,23,B
41507617,MR. TANG DONG,3,20,10,A
41510056,SYD'S SERIOUS SANDWICH SHOP,3,03,7,A
41510058,LONG LIFE VEGETARIAN RESTAURANT,3,84,12,A
41510186,BLISS BAKERY,3,08,12,Z
41496435,PAPAYA KING,1,41,9,A
41496721,BONCHON,1,52,10,A
41497034,RED MANGO,4,43,9,A
41488494,BURGOS RESTAURANT,1,53,24,B
41488573,A TASTE OF CHINA,4,20,24,B
41488616,LIN'S GOURMET,1,20,9,A
41513237,GUANG MING,1,20,18,Z
41513238,TOKYO SUSHI,3,49,2,A
41513285,MINNI SHABU SHABU,4,22,13,A
41562131,HAWA SMOOTHIES,1,51,9,A
41562252,OMONIA NEXT DOOR,4,08,5,A
41564417,VIVA TORO,3,55,21,B
41564579,FRAMBOISE EVENTS,5,03,13,A
41507697,BIER INTERNATIONAL,1,03,13,A
41507777,SUSHI YASUDA,1,49,13,A
41508109,PURE THAI RESTAURANT,1,82,12,A
41508168,WING WAH RESTAURANT,4,20,11,A
41497056,DONBURI-YA,1,49,26,B
41497079,WEN GEE HOUSE,3,20,11,A
41497122,XI'AN FAMOUS FOODS,1,20,8,A
41510566,QATHRA,3,14,7,A
41510678,EL CAMPEON DE LOS POLLOS RESTAURANT,4,77,33,C
41513545,THE FAT RADISH,1,32,11,A
41513619,ARKANSAS CHICKEN & PIZZA,2,03,13,A
41513809,MONA LISA,4,52,9,A
41508177,TAL BAGELS,1,03,10,A
41508355,LAS HERMANAS,4,53,7,A
41508490,NARGILA GRILL,1,50,13,A
41508497,DELICIAS CALENAS,4,77,27,Z
41488706,EL PESAO SAZON,3,53,13,A
41488716,CENTRO VIVA FELIZ,2,51,5,A
41488802,NEW HONG KONG HOUSE EXPRESS,4,20,7,A
41488846,INTERCONTINENTAL NEW YORK TIMES SQUARE/TODD ENGLISH CAVA,1,35,7,A
41562415,THE COMFORT DINER,1,03,5,A
41564827,HO WAN RESTAURANT,4,20,10,A
41564856,MASHALLAH SWEETS AND RESTAURANT,3,59,13,A
41497126,LA CABANA RESTAURANT,1,55,10,A
41497410,SALAAM BOMBAY,1,44,11,A
41513849,GRAND GREAT WALL RESTAURANT INC,1,20,7,A
41514254,ELIM DELI CAFE,1,27,38,Z
41510846,218 RESTAURANT,1,20,18,B
41510990,SUBWAYS,5,69,9,A
41511039,KING WOK RESTAURANT,1,20,6,A
41508817,SUBWAY,3,70,7,A
41509012,MAKANA,1,40,12,Z
41489005,THINK COFFEE,1,14,11,A
41489026,HOM,3,03,2,A
41489102,MERRYLAND BUFFET,2,20,12,A
41562509,KAPETERIA,1,03,10,A
41564956,RADIO CITY MUSIC HALL,1,03,,A
41514518,LE BISTRO D'A COTE,1,35,6,A
41514590,THE BEST TASTE OF ITALY PIZZERIA & RESTAURANT,4,62,11,A
41514595,AL-RAHAMANIA RESTAURANT AND CATERING,4,09,22,B
41514611,CAFE MARLENE,4,14,8,A
41497492,SPICY & TASTY,4,20,13,A
41497700,KUMO SUSHI,1,49,27,Z
41497864,MILLESIME,1,03,22,B
41511228,YUMMY YUMMY KITCHEN,3,20,13,A
41511300,BABYLON,1,83,9,A
41511424,DORIAN CAFE,4,03,13,A
41509086,OUR PLACE RESTAURANT,3,17,27,B
41509339,CROWN FRIED CHICKEN,3,03,13,A
41514714,STRAND BISTRO,1,03,13,A
41514976,LUCID CAFE,1,14,12,A
41514977,JUVENTINO,3,03,10,A
41489490,CHUNG KI WA RESTAURANT,4,52,10,A
41489659,OLLIE'S TO GO,1,22,9,A
41563029,PATOUG RESTAURANT & CATERING,4,56,8,A
41563153,CAFE HANOVER,1,03,11,A
41497912,CONEY ISLAND BAR & GRILL,3,03,6,A
41498541,THAI VILLAGE,4,82,6,A
41565544,TANDOOR & CO,4,44,11,A
41515437,SUPER SKYWAY RESTAURANT,3,59,10,A
41515513,The Hurricane Club,1,40,10,A
41511792,GUELAGUETZA,1,55,13,A
41509593,MONA LISA PIZZERIA & RISTORANTE,5,63,15,Z
41510014,EL CANELAZO BAR RESTAURANT,4,53,12,A
41489694,GEORGES RESTAURANT,3,03,26,B
41489740,KENNEDY FRIED CHICKEN,3,18,10,A
41489745,TASTY KING,1,20,13,A
41563410,TU KIOSKO CAFE,3,77,11,A
41515676,KYOTO,3,49,11,A
41515681,LEE WANG RESTAURANT,2,20,9,A
41515769,XIN BAO SUSHI HOUSE,4,20,12,A
41498674,OCEAN CHINESE RESTAURANT,3,20,26,B
41498996,LIMA LIMON PERUVIAN CUISINE,4,61,12,A
41499145,THE LAMBS CLUB,1,03,12,A
41512259,DUNKIN DONUTS,4,14,13,A
41512520,BOMBAY GRILL,3,44,25,B
41512557,CHINA CITY RESTAURANT,3,20,13,A
41565921,HALYARDS,3,03,12,A
41565970,SUBWAY,5,70,12,A
41566070,DUNKIN DONUTS,1,29,10,A
41510509,THE THREE MONKEYS,1,03,2,A
41510616,THE BLACK SHEEP/TENDER TRAP,3,03,18,B
41515807,SUSHI TATSU ON FRANKLIN,3,49,11,A
41515837,MEXI Q KITCHEN,4,55,2,A
41515854,CLUB CATS,3,13,10,A
41516054,CAFE MAGGIO,1,03,12,A
41516207,TOST CAFE,4,03,13,A
41489788,RESERVE,1,82,12,A
