State,SAT: Avg. Composite Score,SAT: Avg. Critical Reading Score,SAT: Avg. Mathematics Score,SAT: Avg. Writing Score,Percent taking SAT,Student to Teacher Ratio,Percent taking ACT,ACT: Avg. Composite Score,ACT: Avg. English Score,ACT: Avg. Math Score,ACT: Avg. Reading Score,ACT: Avg. Science Score
Alabama,1673,563,556,554,9,13.2,81,20.3,20.3,19.5,20.7,20.1
Alaska,1527,519,517,491,48,16.8,27,21.2,20.1,21.3,21.8,21
Arizona,1546,519,525,502,32,20.3,18,21.8,21.1,21.9,22.2,21.4
Arkansas,1709,578,566,565,5,13.6,75,20.5,20.5,19.9,20.9,20.2
California,1513,499,516,498,49,20.8,15,22.1,21.6,22.6,22.2,21.2
Colorado,1674,560,565,549,24,16.9,100,20.4,19.7,20.1,20.8,20.4
Connecticut,1533,510,512,511,84,14.7,16,23.2,23.2,23.2,23.6,22.4
Delaware,1479,497,496,486,72,15.2,9,21.7,21.2,21.6,21.9,21.4
District of Columbia,1411,478,462,471,78,13.5,31,18.7,18.1,18.8,19.2,18.3
Florida,1472,497,496,479,65,16.4,54,19.9,19.1,20,20.5,19.5
Georgia,1472,494,495,483,69,14.3,34,20.3,19.9,20.3,20.6,20.1
Hawaii,1463,484,506,473,61,16,20,22.3,21.6,22.9,22.2,21.9
Idaho,1599,541,539,519,19,18.1,59,21.4,20.7,21.2,22.1,21.3
Illinois,1793,594,611,588,8,15,100,20.5,20.2,20.4,20.5,20.4
Indiana,1487,497,507,483,62,17,21,22,21.5,22,22.5,21.7
Iowa,1807,608,613,586,4,13.6,66,22.3,21.6,21.9,22.6,22.3
Kansas,1742,583,590,569,8,13.3,76,21.9,21.4,21.6,22.4,21.7
Kentucky,1685,567,565,553,10,15.8,77,20.7,20.3,20,21.2,20.6
Louisiana,1699,569,567,563,7,14.7,79,20.1,20.3,19.5,20.2,19.9
Maine,1388,466,465,457,100,11.5,11,22.5,22.4,22.2,22.9,21.8
Maryland,1498,500,502,496,70,14.6,14,21.6,21.3,21.5,22.1,21.2
Massachusetts,1546,513,522,511,85,13.2,15,23.5,23.5,23.6,23.9,22.6
Michigan,1700,568,579,553,9,17.6,70,21.5,20.7,21.3,21.8,21.7
Minnesota,1776,596,603,577,9,16.2,70,22.5,21.8,22.5,22.8,22.5
Mississippi,1677,568,549,560,4,15.3,96,18.9,19,18.1,19.1,18.7
Missouri,1775,594,594,587,6,13.6,74,21.6,21.5,21,22.1,21.5
Montana,1603,538,543,522,28,13.9,59,21.9,21.2,21.7,22.5,21.8
Nebraska,1726,579,585,562,6,13.4,77,22.1,21.8,21.8,22.4,21.9
Nevada,1486,500,506,480,41,18.5,29,21.5,20.8,21.4,22,21.2
New Hampshire,1554,521,521,512,83,13.1,15,22.9,22.7,22.7,23.3,22.2
New Jersey,1499,495,510,494,82,12.4,11,22.2,21.9,22.5,22.4,21.5
New Mexico,1641,555,546,540,12,14.9,60,20.2,19.6,19.7,20.9,20.2
New York,1478,491,505,482,89,12.8,21,22.9,22,23.1,23.1,22.7
North Carolina,1486,495,509,482,71,12.9,16,21,20.2,21.4,21.4,20.7
North Dakota,1742,584,596,562,4,12.1,82,21.6,20.8,21.5,21.9,21.6
Ohio,1600,536,542,522,27,16.6,68,21.6,21,21.3,22,21.6
Oklahoma,1708,578,571,559,6,15.1,71,20.7,20.5,19.8,21.3,20.5
Oregon,1550,522,526,502,54,18.8,18,22,21.2,22.1,22.5,21.8
Pennsylvania,1474,493,499,482,75,15.2,11,22,21.5,21.9,22.4,21.5
Rhode Island,1486,496,498,492,68,13.3,9,21.8,21.6,21.5,22.5,21.2
South Carolina,1459,488,496,475,62,14.4,43,19.6,19,19.8,19.8,19.5
South Dakota,1758,589,602,567,3,13.4,76,21.9,21.3,21.7,22.1,21.9
Tennessee,1711,574,569,568,13,15.7,96,20.7,20.8,19.9,21.1,20.4
Texas,1481,492,507,482,52,14.8,30,20.5,19.5,20.8,20.6,20.4
Utah,1658,558,556,544,6,22.1,70,21.7,21.3,21.1,22.2,21.6
Vermont,1542,516,518,508,67,10.8,22,22.8,22.6,22.5,23.3,22.3
Virginia,1520,511,511,498,73,11.6,18,21.4,21,21.2,21.7,21.1
Washington,1567,526,531,510,53,19.1,16,23.1,22.7,23,23.7,22.6
West Virginia,1528,516,507,505,20,14.4,66,20.6,20.8,19.5,21.2,20.5
Wisconsin ,1760,587,598,575,6,14.8,70,22.3,21.6,22.2,22.4,22.4
Wyoming,1680,565,571,544,8,12.6,78,21.5,20.7,21.1,22.2,21.4
