HEATING,HEAT,MANHATTAN,
HEATING,HEAT,MANHATTAN,
HEATING,HEAT,BROOKLYN,
HEATING,HEAT,BRONX,
HEATING,HEAT,MANHATTAN,
HEATING,HEAT,MANHATTAN,
HEATING,HEAT,BRONX,
HEATING,HEAT,BROOKLYN,
NONCONST,RUBBISH,MANHATTAN,
HEATING,HEAT,BROOKLYN,
PAINT - PLASTER,CEILING,BRONX,
Smoking,Smoking Violation,MANHATTAN,"(40.84487399381064, -73.93721949500079)"
HEATING,HEAT,BROOKLYN,
NONCONST,VERMIN,BROOKLYN,
Noise - Commercial,Loud Television,BROOKLYN,"(40.72393643902899, -73.95031770868421)"
HEATING,HEAT,BRONX,
NONCONST,VERMIN,BRONX,
Taxi Complaint,Driver Complaint,BROOKLYN,"(40.68405253749512, -73.97745785403546)"
HEATING,HEAT,BRONX,
NONCONST,VERMIN,BRONX,
Taxi Complaint,Driver Complaint,MANHATTAN,"(40.76035319755436, -73.99123199048147)"
HEATING,HEAT,BRONX,
NONCONST,VERMIN,QUEENS,
Taxi Complaint,Driver Complaint,BROOKLYN,"(40.70254196221143, -73.98114114322017)"
HEATING,HEAT,MANHATTAN,
PAINT - PLASTER,WALLS,BROOKLYN,
Taxi Complaint,Driver Complaint,BROOKLYN,"(40.693057457926315, -73.99444303612908)"
HEATING,HEAT,BROOKLYN,
NONCONST,VERMIN,BROOKLYN,
Taxi Complaint,Driver Complaint,MANHATTAN,"(40.77529205657226, -73.95362635525348)"
HEATING,HEAT,QUEENS,
NONCONST,VERMIN,BROOKLYN,
Taxi Complaint,Driver Complaint,MANHATTAN,"(40.744628872853504, -73.9989714726553)"
HEATING,HEAT,MANHATTAN,
NONCONST,VERMIN,BROOKLYN,
Taxi Complaint,Driver Complaint,MANHATTAN,"(40.759412000629965, -73.99561425235972)"
HEATING,HEAT,BROOKLYN,
NONCONST,VERMIN,MANHATTAN,
Taxi Complaint,Driver Complaint,QUEENS,"(40.73664309197042, -73.86583110441738)"
HEATING,HEAT,BROOKLYN,
NONCONST,VERMIN,BROOKLYN,
Taxi Complaint,Driver Complaint,MANHATTAN,"(40.71738136619148, -73.99130257662281)"
HEATING,HEAT,BRONX,
NONCONST,VERMIN,QUEENS,
Blocked Driveway,No Access,BROOKLYN,"(40.67455764821431, -73.87169168668986)"
HEATING,HEAT,QUEENS,
NONCONST,VERMIN,QUEENS,
Noise - Street/Sidewalk,Loud Talking,BRONX,"(40.88260252077106, -73.8839546757793)"
HEATING,HEAT,BROOKLYN,
NONCONST,VERMIN,MANHATTAN,
Blocked Driveway,No Access,BRONX,"(40.87588823628965, -73.84375289674833)"
HEATING,HEAT,QUEENS,
PAINT - PLASTER,WALLS,BROOKLYN,
Noise - Street/Sidewalk,Loud Talking,BRONX,"(40.823164754153446, -73.91032578252778)"
HEATING,HEAT,QUEENS,
NONCONST,VERMIN,BROOKLYN,
Illegal Parking,Commercial Overnight Parking,BROOKLYN,"(40.61825725227935, -73.90321688849674)"
HEATING,HEAT,QUEENS,
NONCONST,VERMIN,BROOKLYN,
Blocked Driveway,Partial Access,BROOKLYN,"(40.62874366418868, -73.93181715776741)"
HEATING,HEAT,BRONX,
PAINT - PLASTER,WALLS,MANHATTAN,
Noise - Commercial,Loud Music/Party,QUEENS,"(40.763497684804435, -73.87813728505814)"
PLUMBING,WATER-LEAKS,BROOKLYN,
PAINT - PLASTER,WALLS,MANHATTAN,
Noise - Commercial,Loud Music/Party,QUEENS,"(40.763497684804435, -73.87813728505814)"
HEATING,HEAT,BROOKLYN,
NONCONST,VERMIN,BROOKLYN,
Noise - Commercial,Loud Music/Party,QUEENS,"(40.75159103046191, -73.87064100125095)"
HEATING,HEAT,BROOKLYN,
NONCONST,VERMIN,BROOKLYN,
Noise - Commercial,Loud Music/Party,QUEENS,"(40.70963674601442, -73.83002487902884)"
HEATING,HEAT,QUEENS,
PAINT - PLASTER,WALLS,QUEENS,
Noise - Commercial,Loud Music/Party,QUEENS,"(40.73567436379449, -73.8809666286912)"
HEATING,HEAT,BROOKLYN,
NONCONST,VERMIN,MANHATTAN,
Noise - Commercial,Loud Music/Party,QUEENS,"(40.76154468058854, -73.92445081254765)"
PLUMBING,WATER-LEAKS,BROOKLYN,
NONCONST,VERMIN,BROOKLYN,
Noise - Commercial,Loud Music/Party,QUEENS,"(40.76494318338899, -73.91720535750666)"
HEATING,HEAT,BROOKLYN,
NONCONST,VERMIN,MANHATTAN,
Blocked Driveway,No Access,QUEENS,"(40.69527493570232, -73.76133801926677)"
HEATING,HEAT,BRONX,
NONCONST,VERMIN,BROOKLYN,
Blocked Driveway,Partial Access,QUEENS,"(40.73794618519759, -73.80569983942775)"
HEATING,HEAT,BROOKLYN,
NONCONST,VERMIN,BRONX,
Noise - Commercial,Loud Music/Party,QUEENS,"(40.74416744233457, -73.9124783278851)"
PLUMBING,WATER-SUPPLY,BROOKLYN,
NONCONST,VERMIN,BROOKLYN,
Noise - Street/Sidewalk,Loud Music/Party,QUEENS,"(40.74645997482455, -73.91708757821527)"
HEATING,HEAT,BROOKLYN,
NONCONST,VERMIN,BRONX,
Illegal Parking,Blocked Hydrant,QUEENS,"(40.73284421992561, -73.77298797875105)"
HEATING,HEAT,BRONX,
PAINT - PLASTER,WALLS,QUEENS,
Blocked Driveway,Partial Access,QUEENS,"(40.70755132405562, -73.81441967196255)"
HEATING,HEAT,BROOKLYN,
