Michael Jordan,27.91
Kareem Abdul-Jabbar,24.58
Bill Russell,18.87
Magic Johnson,24.11
Larry Bird,23.50
Wilt Chamberlain,26.13
Shaquille O'Neal,26.43
Kobe Bryant,23.41
Tim Duncan,24.73
Hakeem Olajuwon,23.59
Lebron James,27.65
Moses Malone,22.31
Oscar Robertson,23.17
Jerry West,22.89
Julius Erving,21.97
Kevin Garnett,23.14
Karl Malone,23.90
Charles Barkley,24.63
Elgin Baylor,22.69
Bob Pettit,25.35
John Havlicek,17.53
Dirk Nowitzki,23.47
George Mikan,27.0
David Robinson,26.18
Isiah Thomas,18.11
Bob Cousy,19.76
Scottie Pippen,18.63
Rick Barry,20.16
Dwyane Wade,25.53
Willis Reed,18.57
Patrick Ewing,21.01
John Stockton,21.83
Walt Frazier,19.12
Clyde Drexler,21.07
Steve Nash,20.02
Allen Iverson,20.92
Dave Cowens,17.02
Dolph Schayes,21.98
Bill Walton,20.00
Kevin McHale,20.02
Jason Kidd,17.91
Wes Unseld,16.00
Gary Payton,18.88
Elvin Hayes,17.73
Paul Arizin,19.66
Bob McAdoo,20.73
Dominique Wilkins,21.56
George Gervin,21.38
Paul Pierce,20.55
Dennis Rodman,13.30
Dwight Howard,22.16
James Worthy,17.73
Nate Thurmond,16.51
Ray Allen,18.81
Sam Jones,18.68
Kevin Durant,23.60
Tiny Archibald,17.99
Chris Paul,25.55
Billy Cunningham,20.04
Reggie Miller,18.36
Jerry Lucas,18.86
Hal Greer,15.70
Pete Maravich,18.38
Pau Gasol,21.63
Dennis Johnson,14.60
Dave DeBusschere,15.5
Artis Gilmore,21.40
Robert Parish,19.22
Tracy McGrady,22.13
Bernard King,19.18
Joe Dumars,15.30
Alex English,19.87
Bob Lanier,21.69
Alonzo Mourning,21.24
Dave Bing,17.63
Earl Monroe,17.20
Chris Webber,20.94
Sidney Moncrief,18.69
Bill Sharman,18.21
Tony Parker,19.09
Adrian Dantley,21.51
Chris Mullin,18.78
Ben Wallace,15.50
Neil Johnston,24.69
David Thompson,19.91
Grant Hill,19.03
Gail Goodrich,16.70
Spencer Haywood,19.07
Dikembe Mutombo,17.21
Vince Carter,20.25
Carmelo Anthony,20.79
Lenny Wilkens,16.76
Kevin Johnson,20.70
Mitch Richmond,17.59
Tom Heinsohn,17.83
Tim Hardaway,18.61
Connie Hawkins,19.89
Bob Dandridge,16.71
Walt Bellamy,19.84
Rasheed Wallace,17.01
