Team,Top;1,Top;2,Top;3,Top;4,Top;5,TOTAL,,
Pace;ES,213.248,288,288,224,306.544,1319.792,,BAKER;UPDATES;;;
Chattahoochee;KL,256,368,306.544,228.62,224,1383.164,,COMING;TONIGHT;;;
Stratford;JS,239.904,288,224,288,368,1407.904,,PREVIEW:;;;;
Carrollton;DS,256,192,224,331.2,201.6,1204.8,,THIS;IS;NOT;CORRECT;
Kinkaid;RT,213.248,219.392,368,257.6,288,1346.24,,-SCOTT;;;;
GBN;KS,224,213.248,213.248,259.2,186.592,1096.288,,;;;;
Centennial;(MD);MK,191.968,192,224,259.2,179.2,1046.368,,;;;
River;Hill;SS,128.064,143.9424,294.4,213.248,260.82,1040.4744,,;;;
Greenhill;PS,306.544,262.752,124.32,246.816,186.592,1127.024,,;;;;
GBS;SW,146.608,159.936,149.408,294.4,230.4,980.752,,;;;;
Dowling;LS,164.544,159.936,236.03888,294.4,120.55176,975.47064,,;;;;
Bronx;Science;BK,170.752,167.9328,172.7712,169.6,239.904,920.96,,;;;
Pace;CK,146.608,191.968,186.592,159.936,224,909.104,,;;;;
Whitney;Young;DV,220.8,148.0896,159.936,159.936,172.48,861.2416,,;;;
New;Trier;KS,150.832,213.248,146.608,154.03836,186.592,851.31836,,;;;
St;Marks;BM,146.608,186.592,149.184,158.9364,148.0896,789.41,,;;;
Niles;West;NP,146.608,132.48032,192,143.9424,149.2736,764.30432,,;;;
CK;McClatchy;SH,224,306.544,63.87192,164.5056,,758.92152,,;;;
Pinecrest;BG,176,123.2,128.064,159.936,170.5984,757.7984,,;;;;
Kinkaid;MJ,159.936,150.832,128.064,149.2736,147.84,735.9456,,;;;;
GBS;MP,117.392,117.392,170.5984,230.4,93.76248,729.54488,,;;;;
River;Hill;CL,125.664,128.064,105.6528,179.2,186.592,725.1728,,;;;
Blake;MS,159.936,150.832,159.936,117.392,132.608,720.704,,;;;;
New;Trier;CM,146.608,143.9424,117.392,117.392,186.592,711.9264,,;;;
Westminster;LP,128.064,150.832,146.608,117.392,149.04036,691.93636,,;;;;
Sage;Ridge;CL,125.664,152.88882,153.5744,111.9552,146.608,690.69042,,;;;
GBN;DM,117.392,159.936,117.392,175.5136,113.0976,683.3312,,;;;;
OPRF;MM,125.664,146.608,123.15072,135.7488,149.2736,680.44512,,;;;;
Woodward;DS,149.408,99.36024,213.248,94.3,117.392,673.70824,,;;;;
Carrollton;AR,117.392,125.664,117.392,123.3792,167.9328,651.76,,;;;;
Dexter;MS,146.608,117.392,117.392,119.5264,143.9424,644.8608,,;;;;
St;Marks;GJ,128.064,238.28,143.9424,117.392,,627.6784,,;;;
GBN;MS,172.48,230.4,204.8,,,607.68,,;;;;
Juan;Diego;KW,192,117.392,74.51724,179.2,,563.10924,,;;;
CPS;BG,109.6704,111.9552,222.1344,117.392,,561.152,,;;;;
Damien;MR,125.664,146.608,95.76,186.592,,554.624,,;;;;
GBS;CC,90.39184,127.9488,204.8,128.64,,551.78064,,;;;;
Notre;Dame;BD,128.064,197.4528,97.9608,128.064,,551.5416,,;;;
ICW;KR,125.664,117.392,98.60928,115.2576,93.9136,550.83648,,;;;;
St;Vincent;de;Paul;KY,134.4,146.608,160.9356,107.2904,,549.234,,;
Stuyvesant;LC,105.6528,127.9488,60.51024,113.0976,128.064,535.27344,,;;;;
Pace;BP,117.392,117.392,115.97796,54.6448,128.064,533.47076,,;;;;
GBN;HK,146.608,90.39184,179.2,113.0976,,529.29744,,;;;;
Damien;LO,125.664,117.392,93.06276,186.592,,522.71076,,;;;;
Blue;Valley;West;BY,164.544,230.4,127.44,,,522.384,,;;
GBN;CT,117.392,146.608,143.67584,113.0976,,520.77344,,;;;;
McDonogh;ER,105.6528,170.5984,60.51024,56.21476,117.392,510.3682,,;;;;
CPS;GY,128.064,137.088,159.936,85.16256,,510.25056,,;;;;
UC;Lab;FG,146.608,127.9488,102.4512,117.392,,494.4,,;;;
ICW;MY,123.15072,111.9552,127.9488,127.9488,,491.00352,,;;;;
Greenhill;GR,117.392,116.032,123.3792,128.064,,484.8672,,;;;;
Baltimore;City;BM,99.36024,72.27612,148.0896,159.936,,479.66196,,;;;
CPS;FP,63.87192,109.6704,125.9496,159.936,,459.42792,,;;;;
Lexington;FK,149.408,159.936,149.408,,,458.752,,;;;;
Bronx;Science;TM,115.2576,224,117.392,,,456.6496,,;;;
Damien;LR,63.87192,81.16752,97.9608,89.6,117.392,449.99224,,;;;;
Iowa;City;GV,98.60928,76.8384,149.2736,113.0976,,437.81888,,;;;
Bronx;Law;AL,105.6528,93.9136,75.56976,159.936,,435.07216,,;;;
Bingham;GH,117.392,63.87192,146.2272,103.4586,,430.94972,,;;;;
National;Cathedral;HS,167.9328,191.9232,70.59528,,,430.45128,,;;;
Berkeley;Prep;DX,149.408,137.088,143.9424,,,430.4384,,;;;
Lexington;MR,167.9328,149.2736,113.0976,,,430.304,,;;;;
Westwood;PJ,117.392,102.6256,145.04,64,,429.0576,,;;;;
Baltimore;City;GM,128.064,143.9424,102.4512,48.18408,,422.64168,,;;;
